Place,Time,Athlete,Country,Date of Birth,City,Event Date
92,49.27,Marita Koch,GDR,18.02.57,Roma,06.09.1981
92,49.27,Sanya Richards-Ross,USA,26.02.85,Indianapolis,24.06.2006
92,49.27,Sanya Richards-Ross,USA,26.02.85,Berlin,16.09.2007
92,49.27,Sanya Richards-Ross,USA,26.02.85,Stuttgart,23.09.2007
96,49.28,Irena Szewinska,POL,24.05.46,Montréal,29.07.1976
96,49.28,Chandra Cheeseborough,USA,10.01.59,Los Angeles,19.06.1984
96,49.28,Marita Koch,GDR,18.02.57,Bruxelles,05.09.1986
96,49.28,Marie-José Pérec,FRA,09.05.68,Göteborg,08.08.1995
96,49.28,Pauline Davis-Thompson,BAH,09.07.66,Atlanta,29.07.1996
96,49.28,Sanya Richards-Ross,USA,26.02.85,Carson,25.06.2005
96,49.28,Yuliya Gushchina,RUS,04.03.83,Cheboksary,05.07.2012
96,49.28,Shaunae Miller-Uibo,BAH,15.04.94,Monaco,10.08.2022
104,49.29,Charity Opara,NGR,20.05.72,Roma,14.07.1998
104,49.29,Sanya Richards-Ross,USA,26.02.85,Bruxelles,14.09.2007
104,49.29,Antonina Krivoshapka,RUS,21.07.87,Cheboksary,23.07.2009
107,49.30,Tatána Kocembová,CZE,02.05.62,Paris,04.09.1984
107,49.30,Petra Schersing,GER,18.07.65,Jena,03.06.1988
107,49.30,Lorraine Fenton,JAM,08.09.73,Monaco,19.07.2002
107,49.30,Tonique Williams-Darling,BAH,17.01.76,Zürich,19.08.2005
111,49.31,Sanya Richards-Ross,USA,26.02.85,Roma,14.07.2006
112,49.32,Marie-José Pérec,FRA,09.05.68,Frankfurt,29.06.1991
112,49.32,Shericka Williams,JAM,17.09.85,Berlin,18.08.2009
112,49.32,Salwa Eid Naser,BRN,23.05.98,Ostrava,08.09.2018
115,49.33,Tatána Kocembová,CZE,02.05.62,London,20.08.1983
115,49.33,Jarmila Kratochvílová,CZE,26.01.51,Hannover,15.06.1984
115,49.33,Olga Bryzgina,UKR,30.06.63,Seoul,25.09.1988
115,49.33,Amantle Montsho,BOT,04.07.83,Monaco,19.07.2013
115,49.33,Salwa Eid Naser,BRN,23.05.98,Bruxelles,31.08.2018
120,49.34,Ana Guevara,MEX,04.03.77,Eugene,24.05.2003
120,49.34,Ana Guevara,MEX,04.03.77,Monaco,14.09.2003
120,49.34,Sanya Richards-Ross,USA,26.02.85,Saint-Denis,17.07.2009
120,49.34,Stephenie Ann McPherson,JAM,25.11.88,Tokyo,04.08.2021
124,49.35,Jarmila Kratochvílová,CZE,26.01.51,Budapest,20.08.1984
124,49.35,Falilat Ogunkoya,NGR,05.12.68,Monaco,10.08.1996
126,49.36,Tatána Kocembová,CZE,02.05.62,Berlin,20.07.1984
126,49.36,Sanya Richards-Ross,USA,26.02.85,Zürich,07.09.2007
128,49.38,Olga Bryzgina,UKR,30.06.63,Roma,31.08.1987
128,49.38,Marileidy Paulino,DOM,25.10.96,Tokyo,04.08.2021
130,49.39,Cathy Freeman,AUS,16.02.73,Oslo,04.07.1997
130,49.39,Sanya Richards-Ross,USA,26.02.85,Eugene,02.06.2012
132,49.40,Jarmila Kratochvílová,CZE,26.01.51,Rieti,16.09.1982
132,49.40,Jearl Miles-Clark,USA,04.09.66,Indianapolis,14.06.1997
132,49.40,Shaunae Miller-Uibo,BAH,15.04.94,Nassau,20.08.2022
132,49.40,Britton Wilson,USA,13.11.00,Baton Rouge,11.05.2023
136,49.41,Tonique Williams-Darling,BAH,17.01.76,Athínai,24.08.2004
136,49.41,Christine Ohuruogu,GBR,17.05.84,Moskva,12.08.2013
136,49.41,Amantle Montsho,BOT,04.07.83,Moskva,12.08.2013
139,49.42,Grit Breuer,GER,16.02.72,Tokyo,27.08.1991
140,49.43,Marita Koch,GDR,18.02.57,Zagreb,15.08.1981
140,49.43,Kathy Cook,GBR,03.05.60,Los Angeles,06.08.1984
140,49.43A,Fatima Yusuf,NGR,02.05.71,Harare,15.09.1995
140,49.43,Lorraine Fenton,JAM,08.09.73,Saint-Denis,27.08.2003
140,49.43,Antonina Krivoshapka,RUS,21.07.87,Krasnodar,08.06.2012
145,49.44,Jarmila Kratochvílová,CZE,26.01.51,Pisa,25.08.1983
145,49.44,Marita Koch,GDR,18.02.57,Potsdam,25.05.1984
145,49.44,Shaunae Miller-Uibo,BAH,15.04.94,Rio de Janeiro,15.08.2016
145,49.44,Femke Bol,NED,23.02.00,München,17.08.2022
149,49.45,Petra Schersing,GER,18.07.65,Seoul,26.09.1988
149,49.45,Marie-José Pérec,FRA,09.05.68,Lausanne,03.07.1996
151,49.46,Jarmila Kratochvílová,CZE,26.01.51,Moskva,28.07.1980
151,49.46,Sanya Richards-Ross,USA,26.02.85,Roma,10.07.2009
151,49.46,Shaunae Miller-Uibo,BAH,15.04.94,Bruxelles,01.09.2017
151,49.46,Allyson Felix,USA,18.11.85,Tokyo,06.08.2021
155,49.47,Jarmila Kratochvílová,CZE,26.01.51,Praha,22.07.1984
155,49.47,Jarmila Kratochvílová,CZE,26.01.51,Paris,04.09.1984
155,49.47,Aelita Yurchenko,UKR,01.01.65,Moskva,04.09.1988
155,49.47,Marie-José Pérec,FRA,09.05.68,Paris,28.06.1996
155,49.47,Shericka Jackson,JAM,16.07.94,Ad-Dawhah,03.10.2019
160,49.48,Marie-José Pérec,FRA,09.05.68,Barcelona,03.08.1992
160,49.48,Cathy Freeman,AUS,16.02.73,Bruxelles,23.08.1996
160,49.48,Falilat Ogunkoya,NGR,05.12.68,Monaco,16.08.1997
160,49.48,Cathy Freeman,AUS,16.02.73,Monaco,18.08.2000
160,49.48,Francena McCorory,USA,20.10.88,Sacramento,28.06.2014
165,49.49,Marita Koch,GDR,18.02.57,Cottbus,25.06.1982
165,49.49,Olga Zaytseva,RUS,10.11.84,Tula,16.07.2006
165,49.49,Marileidy Paulino,DOM,25.10.96,La Nucía,21.05.2022
168,49.50,Petra Schersing,GER,18.07.65,Seoul,25.09.1988
168,49.50,Grit Breuer,GER,16.02.72,Split,29.08.1990
168,49.50,Marie-José Pérec,FRA,09.05.68,Nice,15.07.1992
171,49.51,Jarmila Kratochvílová,CZE,26.01.51,London,11.09.1981
171,49.51,Charity Opara,NGR,20.05.72,Stuttgart,19.07.1998
171,49.51,Grit Breuer,GER,16.02.72,Zürich,12.08.1998
171,49.51,Ana Guevara,MEX,04.03.77,Roma,12.07.2002
171,49.51,Shericka Williams,JAM,17.09.85,Berlin,16.08.2009
171,49.51,Allyson Felix,USA,18.11.85,Rio de Janeiro,15.08.2016
171,49.51,Candice McLeod,JAM,15.11.96,Tokyo,04.08.2021
171,49.51,Britton Wilson,USA,13.11.00,Gainesville,15.04.2023
171,49.51,Britton Wilson,USA,13.11.00,Sacramento,27.05.2023
180,49.52,Irena Szewinska,POL,24.05.46,Düsseldorf,03.09.1977
180,49.52,Olga Bryzgina,UKR,30.06.63,Praha,17.08.1984
180,49.52A,Falilat Ogunkoya,NGR,05.12.68,Johannesburg,13.09.1998
180,49.52,Sanya Richards-Ross,USA,26.02.85,Monaco,10.09.2005
180,49.52,Sanya Richards-Ross,USA,26.02.85,Saint-Denis,06.07.2007
180,49.52,Shaunae Miller-Uibo,BAH,15.04.94,Eugene,26.05.2018
180,49.52,Shakima Wimbley,USA,23.04.95,Des Moines,23.06.2018
187,49.53,Marita Koch,GDR,18.02.57,Helsinki,13.08.1977
187,49.53,Ana Guevara,MEX,04.03.77,Berlin,12.09.2004
187,49.53,Vania Stambolova,BUL,28.11.83,Rieti,27.08.2006
187,49.53,Shaunae Miller-Uibo,BAH,15.04.94,Székesfehérvár,02.07.2018
187,49.53,Beatrice Masilingi,NAM,10.04.03,Lusaka,11.04.2021
192,49.54,Tonique Williams-Darling,BAH,17.01.76,Monaco,10.09.2005
192,49.54,Amantle Montsho,BOT,04.07.83,Porto-Novo,29.06.2012
192,49.54,Shaunae Miller-Uibo,BAH,15.04.94,Kingston,08.06.2019
192,49.54,Rhasidat Adeleke,IRL,29.08.02,Sacramento,27.05.2023
196,49.55,Marita Koch,GDR,18.02.57,Cottbus,17.07.1980
196,49.55,Jearl Miles-Clark,USA,04.09.66,Atlanta,29.07.1996
196,49.55,Tonique Williams-Darling,BAH,17.01.76,Helsinki,10.08.2005
196,49.55,Sanya Richards-Ross,USA,26.02.85,London,05.08.2012
196,49.55,Shaunae Miller-Uibo,BAH,15.04.94,London,22.07.2016
196,49.55,Salwa Eid Naser,BRN,23.05.98,Paris,30.06.2018
196,49.55,Shaunae Miller-Uibo,BAH,15.04.94,Eugene,20.07.2022
203,49.56,Bärbel Wöckel,GDR,21.03.55,Erfurt,30.05.1982
203,49.56,Jarmila Kratochvílová,CZE,26.01.51,Köln,26.08.1984
203,49.56,Valerie Brisco,USA,06.07.60,Berlin,23.08.1985
203,49.56,Cathy Freeman,AUS,16.02.73,Lausanne,05.07.2000
203,49.56,Ana Guevara,MEX,04.03.77,Madrid,20.09.2002
203,49.56,Monique Hennagan,USA,26.05.76,Sacramento,17.07.2004
203,49.56,Ana Guevara,MEX,04.03.77,Athínai,24.08.2004
203,49.56,Amantle Montsho,BOT,04.07.83,Daegu,29.08.2011
203,49.56,Yuliya Gushchina,RUS,04.03.83,Cheboksary,04.07.2012
203,49.56,Amantle Montsho,BOT,04.07.83,Moskva,11.08.2013
213,49.57,Grace Jackson,JAM,14.06.61,Nice,10.07.1988
213,49.57,Falilat Ogunkoya,NGR,05.12.68,Atlanta,28.07.1996
213,49.57,Sanya Richards-Ross,USA,26.02.85,Berlin,14.06.2009
213,49.57,Athing Mu,USA,08.06.02,Eugene,12.06.2021
217,49.58,Marita Koch,GDR,18.02.57,Tokyo,24.09.1982
217,49.58,Dagmar Neubauer,GER,03.06.62,Erfurt,02.06.1984
217,49.58,Jarmila Kratochvílová,CZE,26.01.51,Bruxelles,24.08.1984
217,49.58,Petra Schersing,GER,18.07.65,Karl-Marx-Stadt,12.06.1988
217,49.58,Lorraine Fenton,JAM,08.09.73,Sydney,25.09.2000
222,49.59,Cathy Freeman,AUS,16.02.73,London,12.07.1996
222,49.59,Charity Opara,NGR,20.05.72,Zürich,12.08.1998
222,49.59,Marion Jones,USA,12.10.75,Walnut,16.04.2000
222,49.59,Katharine Merry,GBR,21.09.74,Athínai,11.06.2001
222,49.59,Tonique Williams-Darling,BAH,17.01.76,Bruxelles,03.09.2004
222,49.59,Allyson Felix,USA,18.11.85,Daegu,29.08.2011
222,49.59,Shaunae Miller-Uibo,BAH,15.04.94,Nassau,26.07.2019
229,49.60,Sabine Busch,GER,21.11.62,Karl-Marx-Stadt,20.05.1984
229,49.60,Falilat Ogunkoya,NGR,05.12.68,Lausanne,03.07.1996
229,49.60,Cathy Freeman,AUS,16.02.73,Milano,07.09.1996
229,49.60,Falilat Ogunkoya,NGR,05.12.68,Bruxelles,28.08.1998
229,49.60,Wadeline Jonathas,USA,19.02.98,Ad-Dawhah,03.10.2019
229,49.60,Shaunae Miller-Uibo,BAH,15.04.94,Tokyo,04.08.2021
229,49.60,Marileidy Paulino,DOM,25.10.96,Eugene,22.07.2022
236,49.61,Mariya Pinigina,UKR,09.02.58,Tokyo,21.09.1985
236,49.61,Ana Fidelia Quirot,CUB,23.03.63,La Habana,05.08.1991
236,49.61,Christine Ohuruogu,GBR,17.05.84,Osaka,29.08.2007
236,49.61,Phyllis Francis,USA,04.05.92,Ad-Dawhah,03.10.2019
236,49.61,Stephenie Ann McPherson,JAM,25.11.88,Kingston,27.06.2021
236,49.61,Stephenie Ann McPherson,JAM,25.11.88,Tokyo,06.08.2021
242,49.62,Sabine Busch,GER,21.11.62,Jena,13.05.1984
242,49.62A,Ana Fidelia Quirot,CUB,23.03.63,Ciudad de México,22.05.1988
242,49.62,Falilat Ogunkoya,NGR,05.12.68,Lagos,31.07.1999
242,49.62,Ana Guevara,MEX,04.03.77,Carson,01.06.2003
242,49.62,Christine Ohuruogu,GBR,17.05.84,Beijing,19.08.2008
242,49.62,Amantle Montsho,BOT,04.07.83,Eugene,02.06.2012
242,49.62,Caster Semenya,RSA,07.01.91,Ostrava,08.09.2018
249,49.63,Mariya Pinigina,UKR,09.02.58,Torino,04.08.1979
249,49.63,Olga Bryzgina,UKR,30.06.63,Monaco,11.08.1992
249,49.63,Novlene Williams-Mills,JAM,26.04.82,Shanghai,23.09.2006
252,49.64,Marita Koch,GDR,18.02.57,Jena,08.08.1981
252,49.64,Jarmila Kratochvílová,CZE,26.01.51,Budapest,30.06.1982
252,49.64,Petra Schersing,GER,18.07.65,Potsdam,21.08.1987
252,49.64,Gwen Torrence,USA,12.06.65,Nice,15.07.1992
252,49.64,Ximena Restrepo,COL,10.03.69,Barcelona,05.08.1992
252,49.64,Vania Stambolova,BUL,28.11.83,Haniá,17.07.2006
252,49.64,Novlene Williams-Mills,JAM,26.04.82,Rieti,27.08.2006
252,49.64,Dee Dee Trotter,USA,08.12.82,Indianapolis,23.06.2007
252,49.64,Debbie Dunn,USA,26.03.78,Des Moines,26.06.2010
261,49.65,Marita Koch,GDR,18.02.57,Tbilisi,26.06.1981
261,49.65,Dagmar Neubauer,GER,03.06.62,Nice,20.08.1984
261,49.65,Petra Schersing,GER,18.07.65,Düsseldorf,19.06.1988
261,49.65,Natalya Nazarova,RUS,22.05.79,Tula,31.07.2004
261,49.65,Novlene Williams-Mills,JAM,26.04.82,Roma,14.07.2006
261,49.65,Nicola Sanders,GBR,23.06.82,Osaka,29.08.2007
261,49.65,Allyson Felix,USA,18.11.85,London,09.07.2017
268,49.66,Christina Lathan,GDR,28.02.58,Moskva,28.07.1980
268,49.66,Lillie Leatherwood,USA,06.07.64,New York City,15.06.1991
268,49.66,Marie-José Pérec,FRA,09.05.68,Dijon,13.06.1992
268,49.66,Novlene Williams-Mills,JAM,26.04.82,Osaka,27.08.2007
268,49.66,Novlene Williams-Mills,JAM,26.04.82,Osaka,29.08.2007
268,49.66,Sanya Richards-Ross,USA,26.02.85,London,06.08.2011
268,49.66,Sanya Richards-Ross,USA,26.02.85,Sacramento,28.06.2014
268,49.66,Shaunae Miller-Uibo,BAH,15.04.94,Ad-Dawhah,01.10.2019
276,49.67,Tatána Kocembová,CZE,02.05.62,Ostrava,01.06.1983
276,49.67,Olga Bryzgina,UKR,30.06.63,Stuttgart,28.08.1986
276,49.67,Sandra Myers,ESP,04.01.61,Oslo,06.07.1991
276,49.67,Cathy Freeman,AUS,16.02.73,Sevilla,26.08.1999
276,49.67,Monique Hennagan,USA,26.05.76,Berlin,12.09.2004
276,49.67,Antonina Krivoshapka,RUS,21.07.87,Berlin,16.08.2009
276,49.67,Shaunae Miller-Uibo,BAH,15.04.94,Beijing,27.08.2015
276,49.67,Allyson Felix,USA,18.11.85,Rio de Janeiro,15.08.2016
284,49.68,Marita Koch,GDR,18.02.57,Dresden,07.08.1977
284,49.68,Amantle Montsho,BOT,04.07.83,Oslo,07.06.2012
284,49.68,Allyson Felix,USA,18.11.85,Eugene,03.07.2016
284,49.68,Athing Mu,USA,08.06.02,College Station,29.05.2021
284,49.68,Gabrielle Thomas,USA,07.12.96,Austin,29.04.2023
289,49.69,Olga Nazarova II,RUS,01.06.65,Barcelona,05.08.1992
289,49.69,Ana Guevara,MEX,04.03.77,Bruxelles,30.08.2002
289,49.69,Tonique Williams-Darling,BAH,17.01.76,Saint-Denis,01.07.2005
289,49.69,Tonique Williams-Darling,BAH,17.01.76,Helsinki,08.08.2005
289,49.69,Vania Stambolova,BUL,28.11.83,Göteborg,09.08.2006
289,49.69,Shericka Williams,JAM,17.09.85,Beijing,19.08.2008
289,49.69,Shaunae Miller-Uibo,BAH,15.04.94,Nassau,16.04.2016
296,49.70,Tatána Kocembová,CZE,02.05.62,Praha,23.07.1983
296,49.70,Grit Breuer,GER,16.02.72,Stuttgart,19.07.1998
296,49.70A,Ana Guevara,MEX,04.03.77,Ciudad de México,01.07.2000
296,49.70,Allyson Felix,USA,18.11.85,Stockholm,07.08.2007
296,49.70,Christine Ohuruogu,GBR,17.05.84,London,05.08.2012
301,49.71,Lorraine Fenton,JAM,08.09.73,Lausanne,01.07.2003
301,49.71,Antonina Krivoshapka,RUS,21.07.87,Cheboksary,24.07.2009
301,49.71,Antonina Krivoshapka,RUS,21.07.87,Berlin,18.08.2009
301,49.71,Amantle Montsho,BOT,04.07.83,Monaco,22.07.2011
301,49.71,Courtney Okolo,USA,15.03.94,Baton Rouge,23.04.2016
301,49.71,Roxana Gómez,CUB,07.01.99,Tokyo,04.08.2021
301,49.71,Sydney McLaughlin-Levrone,USA,07.08.99,Paris,09.06.2023
308,49.72,Christina Lathan,GDR,28.02.58,Potsdam,29.07.1979
308,49.72,Tatána Kocembová,CZE,02.05.62,Ostrava,23.05.1984
308,49.72,Marie-José Pérec,FRA,09.05.68,Bruxelles,23.08.1996
308,49.72,Falilat Ogunkoya,NGR,05.12.68,Berlin,01.09.1998
308,49.72,Katharine Merry,GBR,21.09.74,Sydney,25.09.2000
308,49.72,Sanya Richards-Ross,USA,26.02.85,Stockholm,07.08.2007
308,49.72,Dee Dee Trotter,USA,08.12.82,London,05.08.2012
308,49.72,Quanera Hayes,USA,07.03.92,Sacramento,24.06.2017
316,49.73,Jarmila Kratochvílová,CZE,26.01.51,Praha,09.06.1984
316,49.73,Falilat Ogunkoya,NGR,05.12.68,Milano,07.09.1996
316,49.73,Falilat Ogunkoya,NGR,05.12.68,Moskva,05.09.1998
316,49.73,Tonique Williams-Darling,BAH,17.01.76,Zürich,06.08.2004
316,49.73,Sanya Richards-Ross,USA,26.02.85,Saint-Denis,08.07.2006
321,49.74,Marita Koch,GDR,18.02.57,Potsdam,13.07.1980
321,49.74,Mariya Pinigina,UKR,09.02.58,Kyiv,22.06.1984
321,49.74,Sabine Busch,GER,21.11.62,Potsdam,21.07.1984
321,49.74,Mariya Pinigina,UKR,09.02.58,Moskva,04.09.1988
321,49.74,Anja Rücker,GER,20.12.72,Sevilla,26.08.1999
321,49.74,Ana Guevara,MEX,04.03.77,Roma,02.07.2004
321,49.74,Sanya Richards-Ross,USA,26.02.85,Helsinki,10.08.2005
321,49.74,Sanya Richards-Ross,USA,26.02.85,Zürich,29.08.2008
329,49.75,Irena Szewinska,POL,24.05.46,Bydgoszcz,22.06.1976
329,49.75,Gaby Bussmann,FRG,08.10.59,Helsinki,10.08.1983
329,49.75,Aelita Yurchenko,UKR,01.01.65,Simferopol,27.05.1988
329,49.75,Amantle Montsho,BOT,04.07.83,London,05.08.2012
329,49.75,Christine Ohuruogu,GBR,17.05.84,Moskva,11.08.2013
329,49.75,Sada Williams,BAR,01.12.97,Eugene,22.07.2022
329,49.75,Femke Bol,NED,23.02.00,Chorzów,06.08.2022
336,49.76,Marita Koch,GDR,18.02.57,Düsseldorf,03.09.1977
336,49.76,Olga Bryzgina,UKR,30.06.63,Tallinn,21.06.1986
336,49.76,Marie-José Pérec,FRA,09.05.68,Nice,15.07.1991
336,49.76,Ximena Restrepo,COL,10.03.69,Barcelona,03.08.1992
336,49.76,Olga Bryzgina,UKR,30.06.63,Barcelona,03.08.1992
336,49.76,Cathy Freeman,AUS,16.02.73,Monaco,04.08.1999
336,49.76,Cathy Freeman,AUS,16.02.73,Sevilla,24.08.1999
343,49.77,Christina Lathan,GDR,28.02.58,Dresden,09.05.1976
343,49.77,Mariya Pinigina,UKR,09.02.58,Moskva,24.07.1979
343,49.77,Marie-José Pérec,FRA,09.05.68,Paris,03.09.1994
343,49.77,Fatima Yusuf,NGR,02.05.71,Atlanta,29.07.1996
343,49.77,Cathy Freeman,AUS,16.02.73,Athínai,04.08.1997
343,49.77,Olga Kotlyarova,RUS,12.04.76,Roma,02.07.2004
343,49.77,Sanya Richards-Ross,USA,26.02.85,Sheffield,21.08.2005
343,49.77,Sanya Richards-Ross,USA,26.02.85,Roma,13.07.2007
343,49.77,Nicola Sanders,GBR,23.06.82,Osaka,27.08.2007
343,49.77,Novlene Williams-Mills,JAM,26.04.82,Berlin,18.08.2009
343,49.77,Amantle Montsho,BOT,04.07.83,Saint-Denis,06.07.2012
343,49.77,Shaunae Miller-Uibo,BAH,15.04.94,Shanghai,13.05.2017
355,49.78,Chandra Cheeseborough,USA,10.01.59,Bruxelles,24.08.1984
355,49.78,Sandra Myers,ESP,04.01.61,Tokyo,27.08.1991
355,49.78,Cathy Freeman,AUS,16.02.73,Bruxelles,25.08.2000
355,49.78,Grit Breuer,GER,16.02.72,Stuttgart,30.06.2001
355,49.78,Natalya Nazarova,RUS,22.05.79,Tula,09.08.2003
355,49.78,Tonique Williams-Darling,BAH,17.01.76,Bergen,11.06.2004
355,49.78,Novlene Williams-Mills,JAM,26.04.82,Eugene,02.06.2012
