Place,Time,Athlete,Country,Date of Birth,City,Event Date
1,47.60,Marita Koch,GDR,18.02.57,Canberra,06.10.1985
2,47.99,Jarmila Kratochvílová,CZE,26.01.51,Helsinki,10.08.1983
3,48.14,Salwa Eid Naser,BRN,23.05.98,Ad-Dawhah,03.10.2019
4,48.16,Marita Koch,GDR,18.02.57,Athínai,08.09.1982
4,48.16,Marita Koch,GDR,18.02.57,Praha,17.08.1984
6,48.22,Marita Koch,GDR,18.02.57,Stuttgart,28.08.1986
7,48.25,Marie-José Pérec,FRA,09.05.68,Atlanta,29.07.1996
8,48.26,Marita Koch,GDR,18.02.57,Dresden,27.07.1984
9,48.27,Olga Bryzgina,UKR,30.06.63,Canberra,06.10.1985
10,48.36,Shaunae Miller-Uibo,BAH,15.04.94,Tokyo,06.08.2021
11,48.37,Shaunae Miller-Uibo,BAH,15.04.94,Ad-Dawhah,03.10.2019
12,48.45,Jarmila Kratochvílová,CZE,26.01.51,Praha,23.07.1983
13,48.54,Christine Mboma,NAM,22.05.03,Bydgoszcz,30.06.2021
14,48.59,Tatána Kocembová,CZE,02.05.62,Helsinki,10.08.1983
15,48.60,Marita Koch,GDR,18.02.57,Torino,04.08.1979
15,48.60,Olga Bryzgina,UKR,30.06.63,Moskva,17.08.1985
17,48.61,Jarmila Kratochvílová,CZE,26.01.51,Roma,06.09.1981
18,48.63,Cathy Freeman,AUS,16.02.73,Atlanta,29.07.1996
19,48.65,Olga Bryzgina,UKR,30.06.63,Seoul,26.09.1988
20,48.70,Sanya Richards-Ross,USA,26.02.85,Athínai,16.09.2006
21,48.73,Tatána Kocembová,CZE,02.05.62,Praha,17.08.1984
22,48.77,Marita Koch,GDR,18.02.57,Karl-Marx-Stadt,09.07.1982
23,48.82,Jarmila Kratochvílová,CZE,26.01.51,Praha,23.06.1983
24,48.83,Valerie Brisco,USA,06.07.60,Los Angeles,06.08.1984
24,48.83,Marie-José Pérec,FRA,09.05.68,Barcelona,05.08.1992
24,48.83,Sanya Richards-Ross,USA,26.02.85,Bruxelles,04.09.2009
27,48.85,Jarmila Kratochvílová,CZE,26.01.51,Athínai,08.09.1982
28,48.86,Jarmila Kratochvílová,CZE,26.01.51,Zürich,18.08.1982
28,48.86,Marita Koch,GDR,18.02.57,Erfurt,02.06.1984
30,48.87,Marita Koch,GDR,18.02.57,Bruxelles,27.08.1982
31,48.88,Marita Koch,GDR,18.02.57,Moskva,28.07.1980
32,48.89,Marita Koch,GDR,18.02.57,Potsdam,29.07.1979
32,48.89,Marita Koch,GDR,18.02.57,Berlin,15.07.1984
32,48.89,Ana Guevara,MEX,04.03.77,Saint-Denis,27.08.2003
35,48.92,Sanya Richards-Ross,USA,26.02.85,Zürich,19.08.2005
36,48.94,Marita Koch,GDR,18.02.57,Praha,31.08.1978
36,48.94,Sanya Richards-Ross,USA,26.02.85,Zürich,28.08.2009
38,48.96,Olga Bryzgina,UKR,30.06.63,Leningrad,03.08.1985
39,48.97,Marita Koch,GDR,18.02.57,Montréal,26.08.1979
39,48.97,Marita Koch,GDR,18.02.57,Berlin,22.09.1985
39,48.97,Shaunae Miller-Uibo,BAH,15.04.94,Monaco,20.07.2018
42,48.98,Olga Bryzgina,UKR,30.06.63,Kyiv,22.06.1984
42,48.98,Marileidy Paulino,DOM,25.10.96,Westwood,27.05.2023
44,48.99,Marileidy Paulino,DOM,25.10.96,Zürich,08.09.2022
45,49.00,Sanya Richards-Ross,USA,26.02.85,Berlin,18.08.2009
46,49.01y,Jarmila Kratochvílová,CZE,26.01.51,Köln,23.08.1981
47,49.02,Jarmila Kratochvílová,CZE,26.01.51,Rieti,02.09.1984
48,49.03,Marita Koch,GDR,18.02.57,Potsdam,19.08.1978
48,49.03,Jarmila Kratochvílová,CZE,26.01.51,Praha,10.07.1982
50,49.05,Chandra Cheeseborough,USA,10.01.59,Los Angeles,06.08.1984
50,49.05,Olga Bryzgina,UKR,30.06.63,Barcelona,05.08.1992
50,49.05,Sanya Richards-Ross,USA,26.02.85,London,28.07.2006
50,49.05,Shaunae Miller-Uibo,BAH,15.04.94,Gainesville,27.04.2019
54,49.07,Tonique Williams-Darling,BAH,17.01.76,Berlin,12.09.2004
55,49.08,Salwa Eid Naser,BRN,23.05.98,Monaco,20.07.2018
55,49.08,Shaunae Miller-Uibo,BAH,15.04.94,Eugene,24.04.2021
57,49.10,Falilat Ogunkoya,NGR,05.12.68,Atlanta,29.07.1996
58,49.11,Olga Nazarova II,RUS,01.06.65,Seoul,25.09.1988
58,49.11,Cathy Freeman,AUS,16.02.73,Sydney,25.09.2000
58,49.11,Ana Guevara,MEX,04.03.77,Zürich,15.08.2003
58,49.11,Shaunae Miller-Uibo,BAH,15.04.94,Eugene,22.07.2022
62,49.12,Marileidy Paulino,DOM,25.10.96,Paris,09.06.2023
63,49.13,Marie-José Pérec,FRA,09.05.68,Tokyo,27.08.1991
63,49.13,Britton Wilson,USA,13.11.00,Baton Rouge,13.05.2023
65,49.15,Marita Koch,GDR,18.02.57,Erfurt,18.05.1980
65,49.15,Tonique Williams-Darling,BAH,17.01.76,Saint-Denis,23.07.2004
67,49.16,Ana Guevara,MEX,04.03.77,Zürich,16.08.2002
67,49.16,Antonina Krivoshapka,RUS,21.07.87,Cheboksary,05.07.2012
69,49.17,Jarmila Kratochvílová,CZE,26.01.51,Frankfurt,05.07.1981
69,49.17,Marita Koch,GDR,18.02.57,Roma,10.09.1986
69,49.17,Salwa Eid Naser,BRN,23.05.98,Lausanne,05.07.2019
72,49.18,Olga Bryzgina,UKR,30.06.63,Tokyo,21.09.1985
72,49.18,Olga Bryzgina,UKR,30.06.63,Moskva,04.09.1988
72,49.18,Marie-José Pérec,FRA,09.05.68,Monaco,10.08.1996
75,49.19,Marita Koch,GDR,18.02.57,Leipzig,02.07.1978
75,49.19,Mariya Pinigina,UKR,09.02.58,Helsinki,10.08.1983
75,49.19,Marie-José Pérec,FRA,09.05.68,Atlanta,28.07.1996
75,49.19,Aminatou Seyni,NIG,24.10.96,Lausanne,05.07.2019
79,49.20,Marileidy Paulino,DOM,25.10.96,Tokyo,06.08.2021
80,49.23,Jarmila Kratochvílová,CZE,26.01.51,Praha,19.06.1981
80,49.23,Tatána Kocembová,CZE,02.05.62,Oslo,23.08.1983
80,49.23,Tatána Kocembová,CZE,02.05.62,Budapest,20.08.1984
80,49.23,Sanya Richards-Ross,USA,26.02.85,Oslo,03.07.2009
84,49.24,Sabine Busch,GER,21.11.62,Erfurt,02.06.1984
84,49.24,Marita Koch,GDR,18.02.57,Dresden,16.08.1986
84,49.24,Christine Mboma,NAM,22.05.03,Lusaka,11.04.2021
87,49.25,Jarmila Kratochvílová,CZE,26.01.51,Luxembourg,08.07.1984
87,49.25,Ana Guevara,MEX,04.03.77,Monaco,19.07.2002
87,49.25,Tonique Williams-Darling,BAH,17.01.76,Roma,02.07.2004
87,49.25,Sanya Richards-Ross,USA,26.02.85,Stuttgart,10.09.2006
91,49.26,Allyson Felix,USA,18.11.85,Beijing,27.08.2015
