Place,Time,Athlete,Country,Date of Birth,City,Event Date
1,43.03,Wayde van Niekerk,RSA,15.07.92,Rio de Janeiro,14.08.2016
2,43.18,Michael Johnson,USA,13.09.67,Sevilla,26.08.1999
3,43.29,Harry Reynolds,USA,08.06.64,Zürich,17.08.1988
4,43.39,Michael Johnson,USA,13.09.67,Göteborg,09.08.1995
5,43.44,Michael Johnson,USA,13.09.67,Atlanta,19.06.1996
6,43.45,Jeremy Wariner,USA,31.01.84,Osaka,31.08.2007
6,43.45,Michael Norman,USA,03.12.97,Torrance,20.04.2019
8,43.48,Wayde van Niekerk,RSA,15.07.92,Beijing,26.08.2015
8,43.48,Steven Gardiner,BAH,12.09.95,Ad-Dawhah,04.10.2019
10,43.49,Michael Johnson,USA,13.09.67,Atlanta,29.07.1996
11,43.50,Quincy Watts,USA,19.06.70,Barcelona,05.08.1992
11,43.50,Jeremy Wariner,USA,31.01.84,Stockholm,07.08.2007
13,43.56,Michael Norman,USA,03.12.97,Eugene,25.06.2022
14,43.60,Michael Norman,USA,03.12.97,Eugene,28.05.2022
15,43.61,Michael Norman,USA,03.12.97,Eugene,08.06.2018
16,43.62,Jeremy Wariner,USA,31.01.84,Roma,14.07.2006
16,43.62,Wayde van Niekerk,RSA,15.07.92,Lausanne,06.07.2017
18,43.64,Fred Kerley,USA,07.05.95,Des Moines,27.07.2019
19,43.65,Michael Johnson,USA,13.09.67,Stuttgart,17.08.1993
19,43.65,LaShawn Merritt,USA,27.06.86,Beijing,26.08.2015
21,43.66,Michael Johnson,USA,13.09.67,Sacramento,16.06.1995
21,43.66,Michael Johnson,USA,13.09.67,Lausanne,03.07.1996
23,43.68,Michael Johnson,USA,13.09.67,Zürich,12.08.1998
23,43.68,Michael Johnson,USA,13.09.67,Sacramento,16.07.2000
25,43.70,Fred Kerley,USA,07.05.95,Austin,26.05.2017
25,43.70,Champion Allison,USA,05.11.98,Eugene,25.06.2022
27,43.71,Quincy Watts,USA,19.06.70,Barcelona,03.08.1992
28,43.72,Isaac Makwala,BOT,24.09.85,La Chaux-de-Fonds,05.07.2015
29,43.73,Wayde van Niekerk,RSA,15.07.92,Monaco,21.07.2017
30,43.74,Michael Johnson,USA,13.09.67,Eugene,19.06.1993
30,43.74,LaShawn Merritt,USA,27.06.86,Moskva,13.08.2013
30,43.74,Kirani James,GRN,01.09.92,Lausanne,03.07.2014
33,43.75,Michael Johnson,USA,13.09.67,Waco,19.04.1997
33,43.75,LaShawn Merritt,USA,27.06.86,Beijing,21.08.2008
35,43.76,Michael Johnson,USA,13.09.67,Uniondale,21.07.1998
35,43.76,Kirani James,GRN,01.09.92,Rio de Janeiro,14.08.2016
37,43.78,Kirani James,GRN,01.09.92,Beijing,26.08.2015
38,43.79,Michael Norman,USA,03.12.97,Des Moines,27.07.2019
39,43.81,Danny Everett,USA,01.11.66,New Orleans,26.06.1992
40,43.82,Jeremy Wariner,USA,31.01.84,Zürich,29.08.2008
41,43.83,Quincy Watts,USA,19.06.70,Zürich,19.08.1992
42,43.84,Michael Johnson,USA,13.09.67,Sydney,25.09.2000
42,43.84,Isaac Makwala,BOT,24.09.85,Monaco,21.07.2017
44,43.85,LaShawn Merritt,USA,27.06.86,Rio de Janeiro,14.08.2016
44,43.85,Randolph Ross,USA,01.01.01,Eugene,11.06.2021
44,43.85,Steven Gardiner,BAH,12.09.95,Tokyo,05.08.2021
47,43.86A,Lee Evans,USA,25.02.47,Ciudad de México,18.10.1968
47,43.86,Michael Johnson,USA,13.09.67,Oslo,21.07.1995
47,43.86,Jeremy Wariner,USA,31.01.84,Saint-Denis,18.07.2008
50,43.87,Steve Lewis,USA,16.05.69,Seoul,28.09.1988
50,43.87,Steven Gardiner,BAH,12.09.95,Ad-Dawhah,04.05.2018
52,43.88,Michael Johnson,USA,13.09.67,Zürich,16.08.1995
52,43.88,Kirani James,GRN,01.09.92,Tokyo,02.08.2021
54,43.89,Steven Gardiner,BAH,12.09.95,London,06.08.2017
55,43.90,Michael Johnson,USA,13.09.67,Madrid,06.09.1994
56,43.91,Harry Reynolds,USA,08.06.64,Atlanta,19.06.1996
56,43.91,Jeremy Wariner,USA,31.01.84,Saint-Denis,08.07.2006
56,43.91A,Muzala Samukonga,ZAM,09.12.02,Gaborone,29.04.2023
59,43.92,Michael Johnson,USA,13.09.67,Lausanne,02.07.1999
59,43.92,Michael Johnson,USA,13.09.67,Eugene,24.06.2000
59,43.92,LaShawn Merritt,USA,27.06.86,Lausanne,03.07.2014
59,43.92,Isaac Makwala,BOT,24.09.85,Madrid,14.07.2017
63,43.93,Harry Reynolds,USA,08.06.64,Indianapolis,20.07.1988
63,43.93,Harry Reynolds,USA,08.06.64,Seoul,28.09.1988
63,43.93,Jeremy Wariner,USA,31.01.84,Helsinki,12.08.2005
