Place,Time,Athlete,Country,Date of Birth,City,Event Date
59,1:55.80,Tatyana Providokhina,RUS,26.03.53,Praha,31.08.1978
60,1:55.82,Nadezhda Olizarenko,UKR,28.11.53,Praha,31.08.1978
61,1:55.84,Ana Fidelia Quirot,CUB,23.03.63,Roma,31.08.1987
61,1:55.84,Caster Semenya,RSA,07.01.91,Zürich,24.08.2017
63,1:55.86,Christine Wachtel,GER,06.01.65,Potsdam,21.08.1987
63,1:55.86,Francine Niyonsaba,BDI,05.05.93,Paris,30.06.2018
65,1:55.87,Sigrun Wodars,GDR,07.11.65,Split,29.08.1990
65,1:55.87,Svetlana Masterkova,RUS,17.01.68,Moskva,18.06.1999
67,1:55.88,Keely Hodgkinson,GBR,03.03.02,Tokyo,03.08.2021
68,1:55.9,Tatyana Providokhina,RUS,26.03.53,Moskva,06.07.1980
69,1:55.91,Jarmila Kratochvílová,CZE,26.01.51,Moskva,17.08.1985
70,1:55.92,Francine Niyonsaba,BDI,05.05.93,London,13.08.2017
70,1:55.92,Caster Semenya,RSA,07.01.91,Eugene,26.05.2018
72,1:55.93,Maria Mutola,MOZ,27.10.72,Zürich,16.08.1995
73,1:55.96,Lyudmila Veselkova,RUS,25.10.50,Athínai,08.09.1982
73,1:55.96,Yekaterina Podkopayeva,RUS,11.06.52,Leningrad,27.07.1983
73,1:55.96,Francine Niyonsaba,BDI,05.05.93,Monaco,20.07.2018
76,1:55.99,Lilia Nurutdinova,RUS,15.12.63,Barcelona,03.08.1992
77,1:56.0,Valentina Gerasimova,KAZ,15.05.48,Kyiv,12.06.1976
77,1:56.0,Inna Yevseyeva,UKR,14.08.64,Kyiv,25.06.1988
77,1:56.0,Nadezhda Olizarenko,UKR,28.11.53,Kharkov,04.07.1988
77,1:56.00,Tatyana Andrianova,RUS,10.12.79,Kazan,18.07.2008
81,1:56.03,Nadezhda Olizarenko,UKR,28.11.53,Kyiv,01.08.1988
82,1:56.04,Svetlana Masterkova,RUS,17.01.68,Monaco,10.08.1996
82,1:56.04,Maria Mutola,MOZ,27.10.72,Zürich,11.08.1999
82,1:56.04,Janeth Jepkosgei,KEN,13.02.83,Osaka,28.08.2007
85,1:56.06,Caster Semenya,RSA,07.01.91,Asaba,05.08.2018
86,1:56.07,Tatyana Andrianova,RUS,10.12.79,Tula,11.07.2005
86,1:56.07,Janeth Jepkosgei,KEN,13.02.83,Beijing,18.08.2008
86,1:56.07,Athing Mu,USA,08.06.02,Eugene,27.06.2021
89,1:56.09,Nadezhda Olizarenko,UKR,28.11.53,Kyiv,22.06.1984
89,1:56.09,Zulia Calatayud,CUB,09.11.79,Monaco,19.07.2002
91,1:56.1,Ravilya Agletdinova,BLR,10.02.60,Podolsk,21.08.1982
91,1:56.10,Sigrun Wodars,GDR,07.11.65,Seoul,26.09.1988
93,1:56.11,Lyubov Gurina,RUS,06.08.57,Helsinki,09.08.1983
93,1:56.11,Christine Wachtel,GER,06.01.65,Split,29.08.1990
93,1:56.11,Ana Fidelia Quirot,CUB,23.03.63,Göteborg,13.08.1995
93,1:56.11,Maria Mutola,MOZ,27.10.72,Zürich,12.08.1998
97,1:56.15,Maria Mutola,MOZ,27.10.72,Sydney,25.09.2000
97,1:56.15,Natoya Goule,JAM,30.03.91,Monaco,20.07.2018
99,1:56.16,Maria Mutola,MOZ,27.10.72,Monaco,19.07.2002
100,1:56.17,Anita Weiß,GDR,16.07.55,Warszawa,19.06.1978
100,1:56.17,Janeth Jepkosgei,KEN,13.02.83,Osaka,26.08.2007
102,1:56.2,Totka Petrova,BUL,17.12.56,Paris,06.07.1979
102,1:56.2,Tatyana Mishkel,UKR,10.06.52,Podolsk,21.08.1982
102,1:56.2,Doina Melinte,ROU,27.12.56,Bucuresti,13.07.1986
105,1:56.21,Martina Steuk,GDR,11.11.59,Moskva,27.07.1980
105,1:56.21,Zamira Zaytseva,UZB,16.02.53,Leningrad,27.07.1983
105,1:56.21,Kelly Holmes,GBR,19.04.70,Monaco,09.09.1995
108,1:56.23,Tatyana Andrianova,RUS,10.12.79,Tula,31.07.2004
108,1:56.23,Pamela Jelimo,KEN,15.12.89,Stuttgart,14.09.2008
110,1:56.24,Ravilya Agletdinova,BLR,10.02.60,Leningrad,01.08.1985
110,1:56.24,Qu Yunxia,CHN,25.12.72,Beijing,09.09.1993
110,1:56.24,Francine Niyonsaba,BDI,05.05.93,Monaco,15.07.2016
113,1:56.25,Nadezhda Olizarenko,UKR,28.11.53,Leningrad,01.08.1985
113,1:56.25,Liu Dong,CHN,24.12.73,Beijing,08.09.1993
113,1:56.25,Maria Mutola,MOZ,27.10.72,Lausanne,02.07.2002
116,1:56.26,Lyubov Gurina,RUS,06.08.57,Moskva,19.07.1984
117,1:56.27,Jarmila Kratochvílová,CZE,26.01.51,Praha,11.08.1985
118,1:56.28,Rose Mary Almanza,CUB,13.07.92,Stockholm,04.07.2021
119,1:56.29,Nikolina Shtereva,BUL,21.01.55,Torino,04.08.1979
119,1:56.29,Ana Fidelia Quirot,CUB,23.03.63,Monaco,10.08.1996
119,1:56.29,Janeth Jepkosgei,KEN,13.02.83,Rieti,09.09.2007
122,1:56.30,Athing Mu,USA,08.06.02,Eugene,24.07.2022
123,1:56.35,Caster Semenya,RSA,07.01.91,Daegu,04.09.2011
124,1:56.36,Ana Fidelia Quirot,CUB,23.03.63,Villeneuve d'Ascq,27.06.1988
124,1:56.36,Maria Mutola,MOZ,27.10.72,Durban,27.06.1993
124,1:56.36,Maria Mutola,MOZ,27.10.72,Zürich,13.08.1997
127,1:56.37,Nadezhda Olizarenko,UKR,28.11.53,Potsdam,21.07.1984
127,1:56.37,Svetlana Masterkova,RUS,17.01.68,Zürich,11.08.1999
129,1:56.38,Kelly Holmes,GBR,19.04.70,Athínai,23.08.2004
129,1:56.38,Keely Hodgkinson,GBR,03.03.02,Eugene,24.07.2022
131,1:56.4,Lyudmila Veselkova,RUS,25.10.50,Podolsk,21.08.1982
131,1:56.40,Jearl Miles-Clark,USA,04.09.66,Zürich,11.08.1999
133,1:56.42,Paula Ivan,ROU,20.07.63,Ankara,16.07.1988
133,1:56.42,Rose Mary Almanza,CUB,13.07.92,Ordizia,19.06.2021
135,1:56.43,Jearl Miles-Clark,USA,04.09.66,Zürich,12.08.1998
135,1:56.43,Hasna Benhassi,MAR,01.06.78,Athínai,23.08.2004
135,1:56.43,Jolanda Ceplak,SLO,12.09.76,Athínai,23.08.2004
138,1:56.44,Svetlana Styrkina,RUS,01.01.49,Montréal,26.07.1976
138,1:56.44,Caster Semenya,RSA,07.01.91,Zürich,01.09.2016
138,1:56.44,Natoya Goule,JAM,30.03.91,Stockholm,04.07.2021
141,1:56.45,Maria Mutola,MOZ,27.10.72,Bruxelles,22.08.1997
141,1:56.45,Ajee' Wilson,USA,08.05.94,Monaco,20.07.2018
143,1:56.47,Sigrun Wodars,GDR,07.11.65,Potsdam,21.08.1987
143,1:56.47,Ana Fidelia Quirot,CUB,23.03.63,Zürich,13.08.1997
145,1:56.49,Francine Niyonsaba,BDI,05.05.93,Rio de Janeiro,20.08.2016
146,1:56.5,Tatyana Kazankina,RUS,17.12.51,Moskva,12.07.1980
147,1:56.51,Slobodanka Colovic,CRO,10.01.65,Beograd,17.06.1987
147,1:56.51,Maria Mutola,MOZ,27.10.72,Oslo,10.07.1993
147,1:56.51,Maria Mutola,MOZ,27.10.72,Athínai,23.08.2004
150,1:56.53,Anita Weiß,GDR,16.07.55,Montréal,24.07.1976
150,1:56.53,Doina Melinte,ROU,27.12.56,Bucuresti,11.07.1984
150,1:56.53,Lyubov Gurina,RUS,06.08.57,Hechtel,30.07.1994
150,1:56.53,Patricia Djaté,FRA,03.01.71,Monaco,09.09.1995
150,1:56.53,Ana Fidelia Quirot,CUB,23.03.63,Fukuoka,13.09.1997
155,1:56.55,Doina Melinte,ROU,27.12.56,Barcelona,09.09.1989
156,1:56.56,Ana Fidelia Quirot,CUB,23.03.63,Berlin,21.08.1987
156,1:56.56,Lyubov Gurina,RUS,06.08.57,Vladivostok,14.09.1988
156,1:56.56,Maria Mutola,MOZ,27.10.72,New York City,22.05.1993
156,1:56.56,Ludmila Formanová,CZE,02.01.74,Zürich,11.08.1999
160,1:56.57,Zoya Rigel,RUS,15.10.52,Praha,31.08.1978
160,1:56.57,Jarmila Kratochvílová,CZE,26.01.51,Praha,22.06.1985
160,1:56.57,Maria Mutola,MOZ,27.10.72,Lausanne,01.07.2003
163,1:56.58,Ella Kovács,ROU,11.12.64,Bucuresti,30.05.1993
164,1:56.59,Totka Petrova,BUL,17.12.56,Praha,31.08.1978
164,1:56.59,Jarmila Kratochvílová,CZE,26.01.51,Praha,18.09.1982
164,1:56.59,Natalya Khrushchelyova,RUS,20.05.73,Tula,31.07.2004
164,1:56.59,Francine Niyonsaba,BDI,05.05.93,Bruxelles,07.09.2012
168,1:56.6,Tatyana Kazankina,RUS,17.12.51,Colombes,10.07.1976
168,1:56.6,Tamara Sorokina,RUS,15.08.50,Podolsk,21.08.1982
168,1:56.60,Natalya Tsyganova,RUS,07.02.71,Tula,25.07.2000
171,1:56.61,Ella Kovács,ROU,11.12.64,Hengelo,20.06.1993
171,1:56.61,Yelena Afanaseyeva,RUS,01.03.67,Zürich,13.08.1997
171,1:56.61,Ana Fidelia Quirot,CUB,23.03.63,Bruxelles,22.08.1997
171,1:56.61,Caster Semenya,RSA,07.01.91,Ad-Dawhah,05.05.2017
175,1:56.62,Argentina Paulino,MOZ,07.07.73,New York City,22.05.1993
175,1:56.62,Ana Fidelia Quirot,CUB,23.03.63,Zürich,16.08.1995
177,1:56.63,Nadezhda Olizarenko,UKR,28.11.53,Moskva,17.08.1985
177,1:56.63,Yelena Afanaseyeva,RUS,01.03.67,Monaco,08.08.1998
179,1:56.64,Christine Wachtel,GER,06.01.65,Seoul,26.09.1988
179,1:56.64,Nadezhda Loboyko,RUS,07.09.61,Kyiv,07.07.1990
179,1:56.64,Stephanie Graf,AUT,26.04.73,Sydney,25.09.2000
179,1:56.64,Svetlana Klyuka,RUS,27.12.78,Kazan,18.07.2008
179,1:56.64,Caster Semenya,RSA,07.01.91,Rabat,22.05.2016
179,1:56.64,Caster Semenya,RSA,07.01.91,Roma,02.06.2016
185,1:56.65,Yekaterina Podkopayeva,RUS,11.06.52,Leningrad,01.08.1985
185,1:56.65,Maria Mutola,MOZ,27.10.72,Monaco,08.08.1998
185,1:56.65,Ajee' Wilson,USA,08.05.94,London,13.08.2017
188,1:56.66,Ellen van Langen,NED,09.02.66,Hengelo,28.06.1992
188,1:56.66,Janeth Jepkosgei,KEN,13.02.83,Lausanne,11.07.2006
190,1:56.67,Fita Lovin,ROU,14.01.51,Moskva,12.06.1980
190,1:56.67,Yekaterina Kostetskaya,RUS,31.12.86,Kazan,18.07.2008
190,1:56.67,Werkwuha Getachew,ETH,07.12.95,Hengelo,08.06.2021
193,1:56.68,Letitia Vriesde,SUR,05.10.64,Göteborg,13.08.1995
193,1:56.68,Ludmila Formanová,CZE,02.01.74,Sevilla,24.08.1999
193,1:56.68,Caster Semenya,RSA,07.01.91,Gold Coast,13.04.2018
196,1:56.7,Svetlana Styrkina,RUS,01.01.49,Kyiv,12.06.1976
196,1:56.7,Nadezhda Olizarenko,UKR,28.11.53,Moskva,11.06.1980
196,1:56.7,Lyubov Gurina,RUS,06.08.57,Krasnodar,29.05.1983
196,1:56.7,Dalia Matusevicien?,LTU,12.11.62,Kyiv,25.06.1988
200,1:56.71,Christine Wachtel,GER,06.01.65,Moskva,17.08.1985
200,1:56.71,Fita Lovin,ROU,14.01.51,Zürich,21.08.1985
200,1:56.71,Maria Mutola,MOZ,27.10.72,Stockholm,05.08.1998
200,1:56.71,Francine Niyonsaba,BDI,05.05.93,Zürich,24.08.2017
200,1:56.71,Habitam Alemu,ETH,09.07.97,Monaco,20.07.2018
200,1:56.71,Mary Moraa,KEN,15.06.00,Eugene,24.07.2022
206,1:56.72,Jarmila Kratochvílová,CZE,26.01.51,Zürich,21.08.1985
206,1:56.72,Maria Mutola,MOZ,27.10.72,Sevilla,24.08.1999
206,1:56.72,Caster Semenya,RSA,07.01.91,Bambous,31.07.2009
206,1:56.72,Francine Niyonsaba,BDI,05.05.93,Eugene,01.06.2013
210,1:56.73,Hasna Benhassi,MAR,01.06.78,Beijing,18.08.2008
210,1:56.73,Laura Muir,GBR,09.05.93,Monaco,09.07.2021
212,1:56.76A,Ella Kovács,ROU,11.12.64,Poiana Brasov,20.09.1987
212,1:56.76,Svetlana Masterkova,RUS,17.01.68,Zürich,04.08.1993
212,1:56.76,Pamela Jelimo,KEN,15.12.89,Heusden-Zolder,07.07.2012
212,1:56.76,Francine Niyonsaba,BDI,05.05.93,Zürich,01.09.2016
216,1:56.77,Maria Mutola,MOZ,27.10.72,Lausanne,11.07.2006
217,1:56.78,Lyudmila Borisova,RUS,30.07.59,Kyiv,22.06.1984
217,1:56.78,Jearl Miles-Clark,USA,04.09.66,Bruxelles,22.08.1997
219,1:56.79,Maria Mutola,MOZ,27.10.72,Monaco,16.08.1997
220,1:56.8,Slobodanka Colovic,CRO,10.01.65,Osijek,17.05.1987
220,1:56.80,Ana Fidelia Quirot,CUB,23.03.63,Barcelona,03.08.1992
220,1:56.80,Kelly Holmes,GBR,19.04.70,Sydney,25.09.2000
223,1:56.81,Anita Weiß,GDR,16.07.55,Warszawa,19.08.1976
223,1:56.81,Tatyana Providokhina,RUS,26.03.53,Leningrad,27.07.1983
223,1:56.81,Doina Melinte,ROU,27.12.56,Budapest,04.08.1985
223,1:56.81,Sifan Hassan,NED,01.01.93,Monaco,21.07.2017
223,1:56.81,Raevyn Rogers,USA,07.09.96,Tokyo,03.08.2021
228,1:56.82,Lyubov Gurina,RUS,06.08.57,Kyiv,22.06.1984
228,1:56.82,Lyudmila Rogachova,RUS,10.10.66,Pärnu,13.07.1988
228,1:56.82,Sigrun Wodars,GDR,07.11.65,Neubrandenburg,23.06.1989
228,1:56.82,Francine Niyonsaba,BDI,05.05.93,Lausanne,06.07.2017
232,1:56.83,Lilia Nurutdinova,RUS,15.12.63,Hengelo,28.06.1992
233,1:56.84,Nina Ruchayeva,RUS,17.04.56,Moskva,19.07.1984
233,1:56.84,Hasna Benhassi,MAR,01.06.78,Osaka,26.08.2007
235,1:56.85,Olga Raspopova,RUS,27.12.78,Tula,25.07.2000
235,1:56.85,Maria Mutola,MOZ,27.10.72,Zürich,17.08.2001
237,1:56.86,Ajee' Wilson,USA,08.05.94,Eugene,26.05.2018
238,1:56.87,Margaret Wambui,KEN,15.09.95,Zürich,24.08.2017
239,1:56.88,Slobodanka Colovic,CRO,10.01.65,Zagreb,19.07.1987
239,1:56.88,Tatyana Andrianova,RUS,10.12.79,Athínai,23.08.2004
239,1:56.88,Francine Niyonsaba,BDI,05.05.93,Eugene,26.05.2018
242,1:56.89,Christine Wachtel,GER,06.01.65,Neubrandenburg,10.06.1987
242,1:56.89,Margaret Wambui,KEN,15.09.95,Rio de Janeiro,20.08.2016
244,1:56.9,Lyudmila Veselkova,RUS,25.10.50,Moskva,06.07.1980
244,1:56.9,Olga Dvirna,RUS,11.02.53,Podolsk,21.08.1982
244,1:56.90,Mary Slaney,USA,04.08.58,Bern,16.08.1985
244,1:56.90,Ana Fidelia Quirot,CUB,23.03.63,Monaco,16.08.1997
244,1:56.90,Maria Mutola,MOZ,27.10.72,Zürich,11.08.2000
244,1:56.90,Jemma Reekie,GBR,06.03.98,Tokyo,03.08.2021
250,1:56.91,Kim Gallagher,USA,11.06.64,Seoul,26.09.1988
250,1:56.91,Tatyana Andrianova,RUS,10.12.79,Oslo,29.07.2005
250,1:56.91,Zulia Calatayud,CUB,09.11.79,Lausanne,11.07.2006
253,1:56.92,Ella Kovács,ROU,11.12.64,Praha,22.06.1985
253,1:56.92,Ellen van Langen,NED,09.02.66,Hechtel,18.07.1992
253,1:56.92,Francine Niyonsaba,BDI,05.05.93,Birmingham,05.06.2016
256,1:56.93,Jearl Miles-Clark,USA,04.09.66,Zürich,13.08.1997
256,1:56.93,Maria Mutola,MOZ,27.10.72,Berlin,26.08.1997
256,1:56.93,Maria Mutola,MOZ,27.10.72,Fukuoka,13.09.1997
256,1:56.93,Svetlana Masterkova,RUS,17.01.68,Sevilla,24.08.1999
256,1:56.93,Svetlana Cherkasova,RUS,20.05.78,Kazan,25.06.2005
261,1:56.94,Svetlana Klyuka,RUS,27.12.78,Beijing,18.08.2008
261,1:56.94,Pamela Jelimo,KEN,15.12.89,Ad-Dawhah,11.05.2012
263,1:56.95,Jolanta Januchta,POL,16.01.55,Budapest,11.08.1980
263,1:56.95,Kelly Holmes,GBR,19.04.70,Göteborg,13.08.1995
265,1:56.96,Zuzana Moravciková,CZE,30.12.56,Leipzig,27.07.1983
265,1:56.96,Ana Fidelia Quirot,CUB,23.03.63,Zürich,17.08.1988
265,1:56.96,Liu Li,CHN,12.03.71,Beijing,08.09.1993
265,1:56.96,Jemma Reekie,GBR,06.03.98,Monaco,09.07.2021
269,1:56.97,Valentina Parkhuta,BLR,27.10.59,Kyiv,22.06.1984
270,1:56.98,Anita Weiß,GDR,16.07.55,Warszawa,13.08.1978
270,1:56.98,Lyudmila Veselkova,RUS,25.10.50,Leningrad,25.07.1981
270,1:56.98,Maria Mutola,MOZ,27.10.72,Stockholm,01.08.2000
270,1:56.98,Maria Mutola,MOZ,27.10.72,Osaka,26.08.2007
270,1:56.98,Natoya Goule,JAM,30.03.91,Monaco,10.08.2022
275,1:56.99A,Maria Mutola,MOZ,27.10.72,Harare,18.09.1995
275,1:56.99,Maria Mutola,MOZ,27.10.72,Monaco,04.08.1999
275,1:56.99,Hasna Benhassi,MAR,01.06.78,Osaka,28.08.2007
275,1:56.99,Eunice Sum,KEN,10.04.88,Saint-Denis,04.07.2015
279,1:57.0,Tatyana Providokhina,RUS,26.03.53,College Park,07.08.1976
279,1:57.0,Tatyana Providokhina,RUS,26.03.53,Podolsk,12.08.1978
279,1:57.0,Totka Petrova,BUL,17.12.56,Sofia,20.08.1978
279,1:57.0,Olga Vakhrusheva,UKR,26.11.47,Moskva,12.06.1980
279,1:57.0,Tatyana Kazankina,RUS,17.12.51,Moskva,12.06.1980
279,1:57.0,Nina Ruchayeva,RUS,17.04.56,Moskva,12.07.1980
279,1:57.0,Ravilya Agletdinova,BLR,10.02.60,Stayki,28.05.1983
279,1:57.00,Ella Kovács,ROU,11.12.64,Zürich,04.08.1993
279,1:57.00,Wang Chunyu,CHN,17.01.95,Tokyo,03.08.2021
288,1:57.01,Melissa Bishop-Nriagu,CAN,05.08.88,Monaco,21.07.2017
288,1:57.01,Athing Mu,USA,08.06.02,Roma,09.06.2022
290,1:57.02,Melissa Bishop-Nriagu,CAN,05.08.88,Rio de Janeiro,20.08.2016
290,1:57.02,Diribe Welteji,ETH,13.05.02,Eugene,24.07.2022
292,1:57.03,Maria Mutola,MOZ,27.10.72,Hechtel,01.08.1998
292,1:57.03,Margaret Wambui,KEN,15.09.95,Ad-Dawhah,05.05.2017
294,1:57.04,Patricia Djaté,FRA,03.01.71,Göteborg,13.08.1995
294,1:57.04,Meredith Valmon,USA,15.10.68,Atlanta,17.06.1996
294,1:57.04,Yelena Afanaseyeva,RUS,01.03.67,Monaco,16.08.1997
294,1:57.04,Margaret Wambui,KEN,15.09.95,Zürich,01.09.2016
298,1:57.05,Sigrun Wodars,GDR,07.11.65,Jena,28.06.1986
298,1:57.05,Habitam Alemu,ETH,09.07.97,Zürich,24.08.2017
300,1:57.06,Ulrike Bruns,GDR,17.11.53,Berlin,10.07.1976
300,1:57.06,Doina Melinte,ROU,27.12.56,Bucuresti,05.06.1983
302,1:57.07,Yekaterina Podkopayeva,RUS,11.06.52,Potsdam,21.07.1984
302,1:57.07,Letitia Vriesde,SUR,05.10.64,Zürich,16.08.1995
302,1:57.07,Maria Mutola,MOZ,27.10.72,Zürich,14.08.1996
302,1:57.07,Stephanie Graf,AUT,26.04.73,Zürich,11.08.1999
302,1:57.07,Yuliya Chizhenko,RUS,30.08.79,Tula,14.06.2006
302,1:57.07,Janeth Jepkosgei,KEN,13.02.83,Rieti,27.08.2006
302,1:57.07,Mary Moraa,KEN,15.06.00,Birmingham,06.08.2022
309,1:57.08,Ravilya Agletdinova,BLR,10.02.60,Leningrad,27.07.1983
309,1:57.08,Galina Zakharova,RUS,07.09.56,Baku,16.09.1984
311,1:57.09,Christine Wachtel,GER,06.01.65,Potsdam,05.06.1987
311,1:57.09,Christine Wachtel,GER,06.01.65,Jena,03.06.1988
311,1:57.09,Letitia Vriesde,SUR,05.10.64,Monaco,10.08.1996
314,1:57.1,Olga Vakhrusheva,UKR,26.11.47,Sochi,09.06.1979
314,1:57.1,Lyudmila Rogachova,RUS,10.10.66,Stayki,23.06.1990
314,1:57.10,Sigrun Wodars,GDR,07.11.65,Helsinki,29.06.1989
314,1:57.10,Lyubov Gurina,RUS,06.08.57,Stuttgart,17.08.1993
318,1:57.11,Maria Mutola,MOZ,27.10.72,Monaco,20.07.2001
318,1:57.11,Ajee' Wilson,USA,08.05.94,Paris,30.06.2018
320,1:57.12,Tatyana Providokhina,RUS,26.03.53,Warszawa,19.08.1976
320,1:57.12,Doina Melinte,ROU,27.12.56,Zürich,21.08.1985
320,1:57.12,Maria Mutola,MOZ,27.10.72,Stockholm,30.07.1999
320,1:57.12,Sifan Hassan,NED,01.01.93,Zürich,24.08.2017
324,1:57.14,Jarmila Kratochvílová,CZE,26.01.51,Belfast,24.06.1985
324,1:57.14,Kelly Holmes,GBR,19.04.70,Stockholm,07.07.1997
324,1:57.14,Ana Fidelia Quirot,CUB,23.03.63,Athínai,09.08.1997
327,1:57.15,Nadezhda Olizarenko,UKR,28.11.53,Stuttgart,28.08.1986
327,1:57.15,Jearl Miles-Clark,USA,04.09.66,Stockholm,05.08.1998
327,1:57.15,Natalya Tsyganova,RUS,07.02.71,Zürich,11.08.1999
330,1:57.16,Martina Steuk,GDR,11.11.59,Zagreb,15.08.1981
330,1:57.16,Letitia Vriesde,SUR,05.10.64,Monaco,09.09.1995
330,1:57.16,Ana Fidelia Quirot,CUB,23.03.63,Monaco,09.09.1995
330,1:57.16,Ajee' Wilson,USA,08.05.94,Ostrava,09.09.2018
330,1:57.16,Athing Mu,USA,08.06.02,Eugene,26.06.2022
335,1:57.17,Maria Mutola,MOZ,27.10.72,Edmonton,12.08.2001
335,1:57.17,Habitam Alemu,ETH,09.07.97,Paris,30.06.2018
337,1:57.18,Lyubov Tsyoma,RUS,19.05.63,Kyiv,16.07.1986
337,1:57.18,Sigrun Wodars,GDR,07.11.65,Zürich,15.08.1990
337,1:57.18,Wang Yuan,CHN,08.04.76,Beijing,08.09.1993
337,1:57.18,Liu Li,CHN,12.03.71,Beijing,09.09.1993
341,1:57.19,Christine Wachtel,GER,06.01.65,Berlin,22.09.1985
341,1:57.19,Ella Kovács,ROU,11.12.64,Hengelo,28.06.1992
341,1:57.19,Yekaterina Kostetskaya,RUS,31.12.86,Cheboksary,22.07.2011
344,1:57.2,Nadezhda Olizarenko,UKR,28.11.53,Podolsk,12.08.1978
