Place,Time,Athlete,Country,Date of Birth,City,Event Date
1,1:53.28,Jarmila Kratochvílová,CZE,26.01.51,München,26.07.1983
2,1:53.43,Nadezhda Olizarenko,UKR,28.11.53,Moskva,27.07.1980
3,1:54.01,Pamela Jelimo,KEN,15.12.89,Zürich,29.08.2008
4,1:54.25,Caster Semenya,RSA,07.01.91,Paris,30.06.2018
5,1:54.44,Ana Fidelia Quirot,CUB,23.03.63,Barcelona,09.09.1989
6,1:54.60,Caster Semenya,RSA,07.01.91,Monaco,20.07.2018
7,1:54.68,Jarmila Kratochvílová,CZE,26.01.51,Helsinki,09.08.1983
8,1:54.77,Caster Semenya,RSA,07.01.91,Ostrava,09.09.2018
9,1:54.81,Olga Mineyeva,RUS,01.09.52,Moskva,27.07.1980
10,1:54.82,Ana Fidelia Quirot,CUB,23.03.63,Köln,24.08.1997
11,1:54.85,Nadezhda Olizarenko,UKR,28.11.53,Moskva,12.06.1980
12,1:54.87,Pamela Jelimo,KEN,15.12.89,Beijing,18.08.2008
13,1:54.94,Tatyana Kazankina,RUS,17.12.51,Montréal,26.07.1976
14,1:54.97,Pamela Jelimo,KEN,15.12.89,Saint-Denis,18.07.2008
15,1:54.98,Caster Semenya,RSA,07.01.91,Ad-Dawhah,03.05.2019
16,1:54.99,Pamela Jelimo,KEN,15.12.89,Berlin,01.06.2008
17,1:55.04,Jarmila Kratochvílová,CZE,26.01.51,Oslo,23.08.1983
17,1:55.04,Athing Mu,USA,08.06.02,Eugene,21.08.2021
19,1:55.05,Doina Melinte,ROU,27.12.56,Bucuresti,01.08.1982
20,1:55.1,Olga Mineyeva,RUS,01.09.52,Moskva,06.07.1980
21,1:55.16,Pamela Jelimo,KEN,15.12.89,Bruxelles,05.09.2008
21,1:55.16,Caster Semenya,RSA,07.01.91,London,13.08.2017
23,1:55.19,Maria Mutola,MOZ,27.10.72,Zürich,17.08.1994
23,1:55.19,Jolanda Ceplak,SLO,12.09.76,Heusden-Zolder,20.07.2002
25,1:55.21,Athing Mu,USA,08.06.02,Tokyo,03.08.2021
26,1:55.26,Sigrun Wodars,GDR,07.11.65,Roma,31.08.1987
27,1:55.27,Caster Semenya,RSA,07.01.91,Monaco,21.07.2017
27,1:55.27,Caster Semenya,RSA,07.01.91,Zürich,30.08.2018
29,1:55.28,Caster Semenya,RSA,07.01.91,Rio de Janeiro,20.08.2016
30,1:55.29,Maria Mutola,MOZ,27.10.72,Köln,24.08.1997
31,1:55.32,Christine Wachtel,GER,06.01.65,Roma,31.08.1987
32,1:55.33,Caster Semenya,RSA,07.01.91,Monaco,15.07.2016
33,1:55.41,Olga Mineyeva,RUS,01.09.52,Athínai,08.09.1982
33,1:55.41,Pamela Jelimo,KEN,15.12.89,Oslo,06.06.2008
35,1:55.42,Nikolina Shtereva,BUL,21.01.55,Montréal,26.07.1976
36,1:55.43,Maria Mutola,MOZ,27.10.72,Stuttgart,17.08.1993
37,1:55.45,Caster Semenya,RSA,07.01.91,Berlin,19.08.2009
38,1:55.46,Tatyana Providokhina,RUS,26.03.53,Moskva,27.07.1980
39,1:55.47,Francine Niyonsaba,BDI,05.05.93,Monaco,21.07.2017
40,1:55.5,Olga Mineyeva,RUS,01.09.52,Podolsk,21.08.1982
41,1:55.54,Ellen van Langen,NED,09.02.66,Barcelona,03.08.1992
41,1:55.54,Liu Dong,CHN,24.12.73,Beijing,09.09.1993
43,1:55.55,Maria Mutola,MOZ,27.10.72,Madrid,19.07.2003
44,1:55.56,Lyubov Gurina,RUS,06.08.57,Roma,31.08.1987
45,1:55.60,Elfi Zinn,GDR,24.08.53,Montréal,26.07.1976
46,1:55.61,Ajee' Wilson,USA,08.05.94,Monaco,21.07.2017
47,1:55.62,Maria Mutola,MOZ,27.10.72,Zürich,04.08.1993
48,1:55.68,Ella Kovács,ROU,11.12.64,Bucuresti,02.06.1985
48,1:55.68,Caster Semenya,RSA,07.01.91,Berlin,03.09.2016
50,1:55.69,Irina Podyalovskaya,RUS,19.10.59,Kyiv,22.06.1984
50,1:55.69,Pamela Jelimo,KEN,15.12.89,Roma,11.07.2008
52,1:55.70,Sigrun Wodars,GDR,07.11.65,Barcelona,09.09.1989
52,1:55.70,Caster Semenya,RSA,07.01.91,Palo Alto,30.06.2019
54,1:55.72,Maria Mutola,MOZ,27.10.72,Monaco,09.09.1995
55,1:55.74,Anita Weiß,GDR,16.07.55,Montréal,26.07.1976
56,1:55.76,Pamela Jelimo,KEN,15.12.89,Hengelo,24.05.2008
57,1:55.77,Keely Hodgkinson,GBR,03.03.02,Paris,09.06.2023
58,1:55.78,Ana Fidelia Quirot,CUB,23.03.63,Stuttgart,13.07.1997
