Place,Time,Athlete,Country,Date of Birth,City,Event Date
1,29:01.03,Letesenbet Gidey,ETH,20.03.98,Hengelo,08.06.2021
2,29:06.82,Sifan Hassan,NED,01.01.93,Hengelo,06.06.2021
3,29:17.45,Almaz Ayana,ETH,21.11.91,Rio de Janeiro,12.08.2016
4,29:31.78,Wang Junxia,CHN,09.01.73,Beijing,08.09.1993
5,29:32.53,Vivian Cheruiyot,KEN,11.09.83,Rio de Janeiro,12.08.2016
6,29:36.67,Sifan Hassan,NED,01.01.93,Hengelo,10.10.2020
7,29:39.42,Gudaf Tsegay,ETH,23.06.97,Maia,08.05.2021
8,29:42.56,Tirunesh Dibaba,ETH,01.10.85,Rio de Janeiro,12.08.2016
9,29:50.77,Kalkidan Gezahegne,BRN,08.05.91,Maia,08.05.2021
10,29:53.51,Alice Nawowuna,KEN,02.01.94,Rio de Janeiro,12.08.2016
11,29:53.80,Meselech Melkamu,ETH,19.04.85,Utrecht,14.06.2009
12,29:54.66,Tirunesh Dibaba,ETH,01.10.85,Beijing,15.08.2008
13,29:55.32,Sifan Hassan,NED,01.01.93,Tokyo,07.08.2021
14,29:56.18,Kalkidan Gezahegne,BRN,08.05.91,Tokyo,07.08.2021
15,29:59.20,Meseret Defar,ETH,19.11.83,Birmingham,11.07.2009
16,30:00.86,Eilish McColgan,GBR,25.11.90,San Juan Capistrano,04.03.2023
17,30:01.09,Paula Radcliffe,GBR,17.12.73,München,06.08.2002
18,30:01.72,Letesenbet Gidey,ETH,20.03.98,Tokyo,07.08.2021
19,30:03.82,Alicia Monson,USA,13.05.98,San Juan Capistrano,04.03.2023
20,30:04.18,Berhane Adere,ETH,21.07.73,Saint-Denis,23.08.2003
21,30:06.01,Tsigie Gebreselama,ETH,30.09.00,Hengelo,08.06.2021
22,30:07.00,Almaz Ayana,ETH,21.11.91,Hengelo,29.06.2016
23,30:07.15,Werknesh Kidane,ETH,21.11.81,Saint-Denis,23.08.2003
24,30:07.20,Sun Yingjie,CHN,03.10.77,Saint-Denis,23.08.2003
25,30:07.78,Betsy Saina,KEN,30.06.88,Rio de Janeiro,12.08.2016
26,30:08.06,Meseret Defar,ETH,19.11.83,Sollentuna,27.06.2013
27,30:09.94,Letesenbet Gidey,ETH,20.03.98,Eugene,16.07.2022
28,30:10.02,Helen Obiri,KEN,13.12.89,Eugene,16.07.2022
29,30:10.07,Margaret Kipkemboi,KEN,09.02.93,Eugene,16.07.2022
30,30:10.56,Sifan Hassan,NED,01.01.93,Eugene,16.07.2022
31,30:11.53,Florence Kiplagat,KEN,27.02.87,Utrecht,14.06.2009
32,30:11.87,Ayalew Wude,ETH,04.07.87,Utrecht,14.06.2009
33,30:12.15,Rahel Daniel,ERI,16.11.01,Eugene,16.07.2022
34,30:12.45,Ejgayehu Taye,ETH,10.02.00,Eugene,16.07.2022
35,30:12.53,Lornah Kiplagat,NED,01.05.74,Saint-Denis,23.08.2003
36,30:13.17,Molly Huddle,USA,31.08.84,Rio de Janeiro,12.08.2016
37,30:13.37,Zhong Huandi,CHN,28.06.67,Beijing,08.09.1993
38,30:13.74,Ingrid Kristiansen,NOR,21.03.56,Oslo,05.07.1986
39,30:14.66,Elise Cranny,USA,09.05.96,San Juan Capistrano,06.03.2022
40,30:15.67,Tirunesh Dibaba,ETH,01.10.85,Sollentuna,28.06.2005
41,30:16.32,Almaz Ayana,ETH,21.11.91,London,05.08.2017
42,30:17.15,Paula Radcliffe,GBR,17.12.73,Gateshead,27.06.2004
43,30:17.49,Derartu Tulu,ETH,21.03.72,Sydney,30.09.2000
44,30:17.62,Sifan Hassan,NED,01.01.93,Ad-Dawhah,28.09.2019
45,30:17.64,Caroline Kipkurui,KAZ,26.05.94,Eugene,16.07.2022
46,30:17.77,Bosena Mulate,ETH,21.11.01,Eugene,16.07.2022
47,30:18.05,Karissa Schweizer,USA,04.05.96,Eugene,16.07.2022
48,30:18.39,Ejegayehu Dibaba,ETH,21.03.82,Sollentuna,28.06.2005
49,30:19.02,Eilish McColgan,GBR,25.11.90,Hengelo,06.06.2022
50,30:19.29,Tsehay Gemechu,ETH,12.12.98,Hengelo,08.06.2021
51,30:19.39,Werknesh Kidane,ETH,21.11.81,Palo Alto,29.05.2005
52,30:20.44,Hitomi Niiya,JPN,26.02.88,Osaka,04.12.2020
53,30:20.75,Tirunesh Dibaba,ETH,01.10.85,London,03.08.2012
54,30:20.77,Yalemzerf Yehualaw,ETH,03.08.99,Hengelo,08.06.2021
55,30:21.23,Letesenbet Gidey,ETH,20.03.98,Ad-Dawhah,28.09.2019
56,30:21.67,Elvan Abeylegesse,TUR,11.09.82,Antalya,15.04.2006
57,30:22.22,Shalane Flanagan,USA,07.08.81,Beijing,15.08.2008
58,30:22.48,Getenesh Wami,ETH,11.12.74,Sydney,30.09.2000
59,30:22.88,Fernanda Ribeiro,POR,23.06.69,Sydney,30.09.2000
60,30:23.07,Alla Zhilyayeva,RUS,05.02.69,Saint-Denis,23.08.2003
61,30:23.25,Ingrid Kristiansen,NOR,21.03.56,Stuttgart,30.08.1986
62,30:24.02,Tirunesh Dibaba,ETH,01.10.85,Helsinki,06.08.2005
63,30:24.27,Helen Obiri,KEN,13.12.89,Tokyo,07.08.2021
64,30:24.36,Xing Huina,CHN,25.02.84,Athínai,27.08.2004
65,30:24.39,Tirunesh Dibaba,ETH,01.10.85,Eugene,01.06.2012
66,30:24.56,Getenesh Wami,ETH,11.12.74,Sevilla,26.08.1999
67,30:24.85,Florence Kiplagat,KEN,27.02.87,Eugene,01.06.2012
68,30:24.98,Ejegayehu Dibaba,ETH,21.03.82,Athínai,27.08.2004
69,30:25.20,Agnes Tirop,KEN,23.10.95,Ad-Dawhah,28.09.2019
70,30:25.41,Berhane Adere,ETH,21.07.73,Helsinki,06.08.2005
71,30:26.00,Ejegayehu Dibaba,ETH,21.03.82,Helsinki,06.08.2005
72,30:26.20,Galina Bogomalova,RUS,15.10.77,Saint-Denis,23.08.2003
73,30:26.37,Sally Kipyego,KEN,19.12.85,London,03.08.2012
74,30:26.41,Yasemin Can,TUR,11.12.96,Rio de Janeiro,12.08.2016
75,30:26.42,Derartu Tulu,ETH,21.03.72,Athínai,27.08.2004
76,30:26.50,Linet Masai,KEN,05.12.89,Beijing,15.08.2008
77,30:26.66,Gelete Burka,ETH,23.01.86,Rio de Janeiro,12.08.2016
78,30:26.67,Tirunesh Dibaba,ETH,01.10.85,Ostrava,27.06.2013
79,30:26.70,Beleynesh Oljira,ETH,26.06.90,Eugene,01.06.2012
80,30:26.94,Alice Nawowuna,KEN,02.01.94,Durban,25.06.2016
81,30:26.97,Paula Radcliffe,GBR,17.12.73,Sydney,30.09.2000
82,30:27.13,Paula Radcliffe,GBR,17.12.73,Sevilla,26.08.1999
83,30:27.18,Xing Huina,CHN,25.02.84,Helsinki,06.08.2005
84,30:28.26,Sun Yingjie,CHN,03.10.77,Busan,08.10.2002
85,30:28.30,Werknesh Kidane,ETH,21.11.81,Athínai,27.08.2004
86,30:28.47,Gelete Burka,ETH,23.01.86,Hengelo,29.06.2016
87,30:28.53,Tirunesh Dibaba,ETH,01.10.85,Hengelo,29.06.2016
88,30:29.23,Gladys Cherono,KEN,12.05.83,Ostrava,27.06.2013
