Place,Time,Athlete,Country,Date of Birth,City,Event Date
89,30:29.36,Liliya Shobukhova,RUS,13.11.77,Cheboksary,23.07.2009
90,30:30.26,Edith Masai,KEN,04.04.67,Helsinki,06.08.2005
91,30:30.44,Vivian Cheruiyot,KEN,11.09.83,London,03.08.2012
92,30:31.03,Mariya Konovalova,RUS,14.08.74,Cheboksary,23.07.2009
93,30:31.42,Inga Abitova,RUS,06.03.82,Göteborg,07.08.2006
94,30:31.44,Beleynesh Oljira,ETH,26.06.90,Ostrava,27.06.2013
95,30:31.55,Xing Huina,CHN,25.02.84,Saint-Denis,23.08.2003
96,30:31.92,Lornah Kiplagat,NED,01.05.74,Athínai,27.08.2004
97,30:32.03,Tegla Loroupe,KEN,09.05.73,Sevilla,26.08.1999
98,30:32.36,Susanne Wigene,NOR,12.02.78,Göteborg,07.08.2006
99,30:32.47,Werknesh Kidane,ETH,21.11.81,Helsinki,06.08.2005
100,30:32.57,Yasemin Can,TUR,11.12.96,München,15.08.2022
101,30:32.72,Lidiya Grigoryeva,RUS,21.01.74,Göteborg,07.08.2006
102,30:33.53,Sun Yingjie,CHN,03.10.77,Helsinki,06.08.2005
103,30:33.75,Galina Bogomalova,RUS,15.10.77,Helsinki,06.08.2005
104,30:34.49,Shalane Flanagan,USA,07.08.81,Palo Alto,04.05.2008
105,30:34.60,Eilish McColgan,GBR,25.11.90,Eugene,16.07.2022
106,30:35.54,Kimberley Smith,NZL,19.11.81,Palo Alto,04.05.2008
107,30:35.75,Rosemary Wanjiru,KEN,21.09.94,Ad-Dawhah,28.09.2019
108,30:35.82,Helen Obiri,KEN,13.12.89,Ad-Dawhah,28.09.2019
109,30:35.84,Mariya Konovalova,RUS,14.08.74,Beijing,15.08.2008
110,30:35.90,Galina Bogomalova,RUS,15.10.77,Göteborg,07.08.2006
111,30:35.91,Ababel Yeshaneh,ETH,22.07.91,Ostrava,27.06.2013
112,30:35.93,Jessica Judd,GBR,07.01.95,Eugene,16.07.2022
113,30:36.75,Netsanet Gudeta,ETH,12.02.91,Hengelo,29.06.2016
114,30:37.24,Irene Kimais,KEN,10.10.98,Hengelo,06.06.2021
115,30:37.26,Tegla Loroupe,KEN,09.05.73,Sydney,30.09.2000
115,30:37.26,Lornah Kiplagat,NED,01.05.74,Göteborg,07.08.2006
117,30:37.31,Daisy Cherotich,KEN,30.06.97,Hengelo,06.06.2021
118,30:37.38,Genet Yalew,ETH,31.12.92,Hengelo,29.06.2016
119,30:37.68,Benita Willis,AUS,06.05.79,Saint-Denis,23.08.2003
120,30:37.89,Letesenbet Gidey,ETH,20.03.98,Hengelo,17.07.2019
121,30:38.09,Dong Yanmei,CHN,16.02.77,Shanghai,19.10.1997
122,30:38.18,Rosemary Wanjiru,KEN,21.09.94,Abashiri,15.07.2020
123,30:38.33,Mestawat Tufa,ETH,14.09.83,Nijmegen,26.06.2008
124,30:38.35,Sally Kipyego,KEN,19.12.85,Palo Alto,01.05.2011
125,30:38.78,Jelena Prokopcuka,LAT,21.09.76,Göteborg,07.08.2006
126,30:39.38,Werknesh Kidane,ETH,21.11.81,London,03.08.2012
127,30:39.41,Lan Lixin,CHN,14.02.79,Shanghai,19.10.1997
128,30:39.57,Shalane Flanagan,USA,07.08.81,Palo Alto,01.05.2011
129,30:39.71,Ririka Hironaka,JPN,24.11.00,Eugene,16.07.2022
130,30:39.96,Lucy Kabuu,KEN,24.03.84,Beijing,15.08.2008
131,30:39.98,Yin Lili,CHN,11.11.79,Shanghai,19.10.1997
132,30:40.27,Lornah Kiplagat,NED,01.05.74,Beijing,15.08.2008
133,30:40.59,Senbere Teferi,ETH,03.05.95,Hengelo,29.06.2016
134,30:40.70,Paula Radcliffe,GBR,17.12.73,Barakaldo,10.04.1999
135,30:40.85,Netsanet Gudeta,ETH,12.02.91,Hengelo,17.07.2019
136,30:40.87,Gelete Burka,ETH,23.01.86,Hengelo,10.06.2017
137,30:41.05,Eilish McColgan,GBR,25.11.90,München,15.08.2022
138,30:41.40,Werknesh Kidane,ETH,21.11.81,Palo Alto,07.06.2003
139,30:41.68,Senbere Teferi,ETH,03.05.95,Hengelo,10.06.2017
140,30:41.85,Pauline Kamulu,KEN,16.04.95,Fukagawa,11.07.2018
141,30:41.93,Francine Niyonsaba,BDI,05.05.93,Tokyo,07.08.2021
142,30:42.26,Sally Kipyego,KEN,19.12.85,Palo Alto,04.05.2014
143,30:42.75,Paula Radcliffe,GBR,17.12.73,Helsinki,06.08.2005
144,30:43.35,Tirunesh Dibaba,ETH,01.10.85,Moskva,11.08.2013
145,30:43.39,Ejegayehu Dibaba,ETH,21.03.82,Barakaldo,10.07.2004
146,30:44.00,Irene Cheptai,KEN,04.02.92,Tokyo,07.08.2021
147,30:44.23,Senbere Teferi,ETH,03.05.95,Ad-Dawhah,28.09.2019
148,30:44.27,Letesenbet Gidey,ETH,20.03.98,Hengelo,06.06.2022
149,30:44.57,Beleynesh Oljira,ETH,26.06.90,Hengelo,10.06.2017
150,30:44.68,Ejgayehu Taye,ETH,10.02.00,Hengelo,06.06.2022
151,30:45.00,Margaret Kipkemboi,KEN,09.02.93,Hengelo,06.06.2022
152,30:45.14,Senbere Teferi,ETH,03.05.95,Hengelo,17.07.2019
153,30:45.17,Gladys Cherono,KEN,12.05.83,Moskva,11.08.2013
154,30:45.21,Seira Fuwa,JPN,25.03.03,Kyoto,11.12.2021
155,30:45.56,Beleynesh Oljira,ETH,26.06.90,London,03.08.2012
156,30:45.81,Sheila Chepkirui,KEN,27.12.90,Stockholm,04.05.2021
157,30:46.24,Zeineba Yimer,ETH,17.06.98,Hengelo,17.07.2019
158,30:46.37,Lonah Chemtai Salpeter,ISR,12.12.88,München,15.08.2022
159,30:46.48,Galina Bogomalova,RUS,15.10.77,Tula,03.08.2003
160,30:46.51,Joan Melly Chelimo,KEN,10.11.90,Stockholm,04.05.2021
161,30:46.70,Inga Abitova,RUS,06.03.82,Kazan,17.07.2008
162,30:46.98,Beleynesh Oljira,ETH,26.06.90,Moskva,11.08.2013
163,30:47.02,Emily Chebet,KEN,18.02.86,Moskva,11.08.2013
164,30:47.20,Sylvia Kibet,KEN,28.03.84,Utrecht,14.06.2009
165,30:47.22,Dong Zhaoxia,CHN,13.11.74,Shanghai,19.10.1997
166,30:47.25,Shitaye Eshete,BRN,21.05.90,London,03.08.2012
167,30:47.42,Elise Cranny,USA,09.05.96,San Juan Capistrano,20.02.2021
168,30:47.55,Betlehem Mulate,ETH,21.03.01,Hengelo,06.06.2022
169,30:47.59,Sonia O'Sullivan,IRL,28.11.69,München,06.08.2002
169,30:47.59,Molly Huddle,USA,31.08.84,Palo Alto,04.05.2014
171,30:47.72,Wang Dongmei,CHN,03.12.73,Shanghai,19.10.1997
171,30:47.72,Girmawit Gebrzihair,ETH,21.11.01,Hengelo,06.06.2022
173,30:47.99,Karissa Schweizer,USA,04.05.96,San Juan Capistrano,20.02.2021
173,30:47.99,Karissa Schweizer,USA,04.05.96,Eugene,27.05.2022
175,30:48.06,Fernanda Ribeiro,POR,23.06.69,Lisboa,04.04.1998
176,30:48.26,Aberu Kebede,ETH,12.09.89,Utrecht,14.06.2009
176,30:48.26,Elly Henes,USA,13.10.98,San Juan Capistrano,04.03.2023
178,30:48.48,Almaz Ayana,ETH,21.11.91,Hengelo,06.06.2022
179,30:48.51,Ingrid Kristiansen,NOR,21.03.56,Oslo,01.07.1989
180,30:48.58,Paula Radcliffe,GBR,17.12.73,Lisboa,04.04.1998
181,30:48.60,Eilish McColgan,GBR,25.11.90,Birmingham,03.08.2022
182,30:48.69,Natosha Rogers,USA,07.05.91,San Juan Capistrano,04.03.2023
183,30:48.89,Yoko Shibui,JPN,14.03.79,Palo Alto,03.05.2002
184,30:48.98,Vivian Cheruiyot,KEN,11.09.83,Daegu,27.08.2011
185,30:49.23,Eva Cherono,KEN,15.08.96,Stockholm,04.05.2021
186,30:49.30,Wang Junxia,CHN,09.01.73,Stuttgart,21.08.1993
187,30:49.52,Irene Cheptai,KEN,04.02.92,Birmingham,03.08.2022
188,30:49.57,Emily Sisson,USA,12.10.91,Palo Alto,29.03.2019
189,30:49.68,Gelete Burka,ETH,23.01.86,Hengelo,17.06.2015
190,30:50.04,Sally Kipyego,KEN,19.12.85,Daegu,27.08.2011
191,30:50.16,Werknesh Kidane,ETH,21.11.81,Eugene,01.06.2012
192,30:50.25,Beleynesh Oljira,ETH,26.06.90,Hengelo,29.06.2016
193,30:50.32,Deena Kastor,USA,14.02.73,Palo Alto,03.05.2002
194,30:50.34,Wang Junxia,CHN,09.01.73,Hiroshima,15.10.1994
195,30:50.83,Alemitu Heroye,ETH,09.05.95,Hengelo,17.06.2015
196,30:50.84,Karoline Bjerkeli Grøvdal,NOR,14.06.90,Oslo,08.05.2021
197,30:51.00,Kimberley Smith,NZL,19.11.81,Beijing,15.08.2008
198,30:51.07,Derartu Tulu,ETH,21.03.72,Barakaldo,10.07.2004
199,30:51.30,Berhane Adere,ETH,21.07.73,Heusden-Zolder,05.08.2000
200,30:51.34,Meselech Melkamu,ETH,19.04.85,Berlin,15.08.2009
201,30:51.39,Irene Cheptai,KEN,04.02.92,Stockholm,04.05.2021
202,30:51.69,Marta Domínguez,ESP,03.11.75,Göteborg,07.08.2006
203,30:51.81,Kayoko Fukushi,JPN,25.03.82,Busan,08.10.2002
204,30:51.86,Dera Dida,ETH,26.10.96,Hengelo,17.07.2019
205,30:51.92,Hilda Kibet,NED,27.03.81,Utrecht,14.06.2009
206,30:51.99,Edith Masai,KEN,04.04.67,Utrecht,17.06.2005
207,30:52.37,Meseret Defar,ETH,19.11.83,Berlin,15.08.2009
208,30:52.51,Elana Meyer,RSA,10.10.66,London,10.09.1994
209,30:53.11,Tsehay Gemechu,ETH,12.12.98,Hengelo,17.07.2019
210,30:53.20,Joanne Pavey,GBR,20.09.73,London,03.08.2012
211,30:53.32,Gete Alemayehu,ETH,27.08.98,Hengelo,17.07.2019
212,30:53.37,Sonia O'Sullivan,IRL,28.11.69,Sydney,30.09.2000
213,30:53.53,Girmawit Gebrzihair,ETH,21.11.01,Hengelo,17.07.2019
214,30:53.59,Linet Masai,KEN,05.12.89,Daegu,27.08.2011
215,30:53.60A,Helen Obiri,KEN,13.12.89,Nairobi,19.06.2021
216,30:53.69,Beleynesh Oljira,ETH,26.06.90,Hengelo,17.06.2015
217,30:54.12,Ababel Yeshaneh,ETH,22.07.91,Hengelo,29.06.2016
218,30:54.28,Yalemzerf Yehualaw,ETH,03.08.99,Hengelo,06.06.2022
219,30:54.29,Kayoko Fukushi,JPN,25.03.82,Palo Alto,01.05.2011
220,30:54.37,Sun Yingjie,CHN,03.10.77,Athínai,27.08.2004
221,30:54.46,Daisy Cherotich,KEN,30.06.97,Stockholm,04.05.2021
222,30:54.61,Tadelech Bekele,ETH,11.04.91,Hengelo,29.06.2016
223,30:55.05,Fiona O'Keeffe,USA,24.05.98,San Juan Capistrano,04.03.2023
224,30:55.16,Kara Goucher,USA,09.07.78,Beijing,15.08.2008
225,30:55.50,Sula Utura,ETH,08.02.90,Ostrava,27.06.2013
226,30:55.56,Mamitu Daska,ETH,16.10.83,Hengelo,17.06.2015
227,30:55.63,Julia Bleasdale,GBR,09.09.81,London,03.08.2012
228,30:55.67,Irene Kwambai,KEN,25.10.78,Utrecht,17.06.2005
229,30:55.80,Paula Radcliffe,GBR,17.12.73,Barakaldo,07.04.2001
229,30:55.80,Irene Kwambai,KEN,25.10.78,Helsinki,06.08.2005
231,30:55.83,Liu Shixiang,CHN,13.01.71,Shanghai,19.10.1997
232,30:55.90,Dorcas Kimeli,KEN,05.07.97,Stockholm,04.05.2021
233,30:56.26,Netsanet Gudeta,ETH,12.02.91,Herzogenaurach,13.05.2016
234,30:56.4,Derartu Tulu,ETH,21.03.72,Gijón,12.08.2000
235,30:56.43,Priscah Cherono,KEN,27.06.80,Daegu,27.08.2011
236,30:56.48,Dera Dida,ETH,26.10.96,Hengelo,10.06.2017
237,30:56.55,Meselech Melkamu,ETH,19.04.85,Daegu,27.08.2011
238,30:56.70,Hitomi Niiya,JPN,26.02.88,Moskva,11.08.2013
239,30:56.94,Pauline Kamulu,KEN,16.04.95,Osaka,21.09.2018
240,30:57.07,Elizabeth McColgan,GBR,24.05.64,Hengelo,25.06.1991
241,30:57.14,Alla Zhilyayeva,RUS,05.02.69,Tula,03.08.2003
242,30:57.21,Olga Bondarenko,RUS,02.06.60,Stuttgart,30.08.1986
243,30:57.30,Betsy Saina,KEN,30.06.88,Palo Alto,04.05.2014
244,30:57.54,Tsigie Gebreselama,ETH,30.09.00,Hengelo,17.07.2019
245,30:57.70,Leah Malot,KEN,07.06.72,Heusden-Zolder,05.08.2000
246,30:57.73,Tsehay Gemechu,ETH,12.12.98,Hengelo,10.10.2020
247,30:57.8,Peninah Arusei,KEN,23.02.79,Steenwijk,18.07.2008
248,30:57.83,Lidiya Grigoryeva,RUS,21.01.74,Tula,03.08.2003
249,30:57.90,Kayoko Fukushi,JPN,25.03.82,Oita,30.09.2006
250,30:58.03,Ayalew Wude,ETH,04.07.87,Hengelo,17.06.2015
251,30:58.26,Genet Yalew,ETH,31.12.92,Herzogenaurach,13.05.2016
252,30:58.46,Molly Huddle,USA,31.08.84,Palo Alto,29.03.2019
253,30:58.48,Hilda Kibet,NED,27.03.81,Utrecht,30.05.2008
254,30:58.94,Eilish McColgan,GBR,25.11.90,San Juan Capistrano,20.02.2021
255,30:59.01,Joyce Chepkemoi,KEN,03.05.95,Hengelo,06.06.2021
256,30:59.19,Hitomi Niiya,JPN,26.02.88,London,03.08.2012
257,30:59.20,Yasemin Can,TUR,11.12.96,Hengelo,17.07.2019
258,30:59.35,Mariya Konovalova,RUS,14.08.74,Kazan,17.07.2008
259,30:59.42,Ingrid Kristiansen,NOR,21.03.56,Oslo,27.07.1985
260,30:59.75,Rahel Daniel,ERI,16.11.01,Hengelo,06.06.2022
261,30:59.85,Alicia Monson,USA,13.05.98,Eugene,16.07.2022
262,30:59.92,Merima Hashim,ETH,81,Heusden-Zolder,05.08.2000
263,30:59.97,Shalane Flanagan,USA,07.08.81,Eugene,23.06.2011
264,31:00.10,Dominique Scott,RSA,24.06.92,San Juan Capistrano,06.03.2022
265,31:00.26,Tsehay Gemechu,ETH,12.12.98,Hengelo,06.06.2022
266,31:00.27,Mestawat Tufa,ETH,14.09.83,Valkenswaard,26.06.2007
267,31:00.64,Kayoko Fukushi,JPN,25.03.82,Helsinki,26.07.2006
268,31:00.71,Ririka Hironaka,JPN,24.11.00,Tokyo,07.08.2021
269,31:00.73,Xing Huina,CHN,25.02.84,Nanjing,17.10.2005
270,31:01.04,Stella Chesang,UGA,01.12.96,Eugene,16.07.2022
271,31:01.07,Ejegayehu Dibaba,ETH,21.03.82,Saint-Denis,23.08.2003
272,31:01.14,Kayoko Fukushi,JPN,25.03.82,Beijing,15.08.2008
273,31:01.15,Lidiya Grigoryeva,RUS,21.01.74,Tula,25.06.2004
274,31:01.54,Bosena Mulate,ETH,21.11.01,Hengelo,08.06.2021
275,31:01.63,Fernanda Ribeiro,POR,23.06.69,Atlanta,02.08.1996
276,31:01.71,Konstanze Klosterhalfen,GER,18.02.97,Austin,27.02.2021
277,31:01.76,Wang Junxia,CHN,09.01.73,Nanjing,07.05.1996
278,31:01.97,Konstanze Klosterhalfen,GER,18.02.97,Tokyo,07.08.2021
279,31:02.58,Wang Junxia,CHN,09.01.73,Atlanta,02.08.1996
280,31:02.69,Tirunesh Dibaba,ETH,01.10.85,London,05.08.2017
281,31:02.70A,Caroline Nyaga,KEN,10.07.93,Nairobi,24.06.2022
282,31:02.72,Ejegayehu Dibaba,ETH,21.03.82,Palo Alto,07.06.2003
283,31:02.89,Linet Masai,KEN,05.12.89,Ostrava,27.06.2013
284,31:03.32,Degitu Azimeraw,ETH,24.01.99,Hengelo,17.07.2019
284,31:03.32,Hawi Feysa,ETH,01.02.99,Hengelo,06.06.2022
286,31:03.37,Tirunesh Dibaba,ETH,01.10.85,Ostrava,12.06.2008
287,31:03.50,Agnes Tirop,KEN,23.10.95,London,05.08.2017
288,31:03.60,Marleen Renders,BEL,24.12.68,Heusden-Zolder,05.08.2000
289,31:03.62,Kathrin Weßel,GER,14.08.67,Frankfurt,30.06.1991
290,31:03.75,Kayoko Fukushi,JPN,25.03.82,Helsinki,06.08.2005
291,31:03.82,Emily Sisson,USA,12.10.91,Eugene,26.06.2021
292,31:04.00,Lyudmila Biktasheva,RUS,25.07.74,München,06.08.2002
293,31:04.04,Lornah Kiplagat,NED,01.05.74,Nijmegen,26.06.2008
294,31:04.05,Ejegayehu Dibaba,ETH,21.03.82,Ostrava,12.06.2008
295,31:04.08,Laura Galván,MEX,05.10.91,San Juan Capistrano,04.03.2023
296,31:04.10,Jelena Prokopcuka,LAT,21.09.76,Athínai,27.08.2004
297,31:04.25,Fernanda Ribeiro,POR,23.06.69,London,10.09.1994
298,31:04.34,Jane Wanjiku,KEN,14.06.79,Kobe,25.04.2004
299,31:04.46,Eilish McColgan,GBR,25.11.90,Tokyo,07.08.2021
300,31:04.49,Derebe Alemu,ETH,05.06.83,Uden,03.07.2004
301,31:04.52,Meselech Melkamu,ETH,19.04.85,Ostrava,27.05.2010
302,31:04.55,Jelena Prokopcuka,LAT,21.09.76,Helsinki,06.08.2005
303,31:04.59,Beleynesh Oljira,ETH,26.06.90,Dubai,23.04.2016
304,31:04.61,Galina Bogomalova,RUS,15.10.77,Tula,14.06.2005
305,31:04.62,Lidiya Grigoryeva,RUS,21.01.74,Athínai,27.08.2004
306,31:04.85,Shalane Flanagan,USA,07.08.81,Palo Alto,29.03.2013
307,31:04.88,Tatyana Aryasova,RUS,02.04.79,Kazan,17.07.2008
307,31:04.88,Tsigie Gebreselama,ETH,30.09.00,Hengelo,06.06.2022
309,31:04.93,Meselech Melkamu,ETH,19.04.85,Ostrava,12.06.2008
310,31:04.99,Fernanda Ribeiro,POR,23.06.69,Göteborg,09.08.1995
311,31:05.05,Meseret Defar,ETH,19.11.83,Nuoro,13.07.2011
312,31:05.14,Rahma Tusa,ETH,14.09.93,Hengelo,10.06.2017
313,31:05.21,Olga Bondarenko,RUS,02.06.60,Seoul,30.09.1988
313,31:05.21,Konstanze Klosterhalfen,GER,18.02.97,München,15.08.2022
315,31:05.40,Susan Krumins,NED,08.07.86,Ad-Dawhah,28.09.2019
316,31:05.57,Maura Viceconte,ITA,03.10.67,Heusden-Zolder,05.08.2000
317,31:05.68,Kayoko Fukushi,JPN,25.03.82,Kobe,25.04.2004
318,31:05.71,Marielle Hall,USA,28.01.92,Ad-Dawhah,28.09.2019
319,31:05.85,Ingrid Kristiansen,NOR,21.03.56,Roma,04.09.1987
320,31:05.90,Lucy Kabuu,KEN,24.03.84,Athínai,27.08.2004
321,31:05.99,Chikako Mori,JPN,25.11.92,Yamaguchi,09.12.2017
322,31:06.02,Derartu Tulu,ETH,21.03.72,Barcelona,07.08.1992
323,31:06.14,Jelena Prokopcuka,LAT,21.09.76,Saint-Denis,23.08.2003
324,31:06.20,Lucy Kabuu,KEN,24.03.84,Okayama,27.09.2003
324,31:06.20,Florence Jebet Kiplagat,KEN,27.02.87,Utrecht,17.05.2007
326,31:06.29,Pauline Korikwiang,KEN,01.03.88,Ostrava,27.05.2010
327,31:06.46,Sarah Chelangat,UGA,05.06.01,Hengelo,10.10.2020
328,31:06.53,Netsanet Gudeta,ETH,12.02.91,Hengelo,17.06.2015
329,31:06.63,Helena Javornik,SLO,26.03.66,Athínai,27.08.2004
330,31:06.65,Getenesh Wami,ETH,11.12.74,Atlanta,02.08.1996
331,31:06.67,Hitomi Niiya,JPN,26.02.88,Tokyo,07.06.2013
332,31:06.84,Ayalew Wude,ETH,04.07.87,Ostrava,12.06.2008
333,31:06.86A,Irene Cheptai,KEN,04.02.92,Nairobi,19.06.2021
334,31:06.93,Aheza Kiros Abeye,ETH,16.10.85,Ostrava,12.06.2008
335,31:06.94,Li Ji,CHN,19.09.79,Sydney,30.09.2000
336,31:06.99,Elizabeth McColgan,GBR,24.05.64,Oslo,02.07.1988
337,31:07.02,Vivian Cheruiyot,KEN,11.09.83,Pontevedra,02.04.2011
338,31:07.24,Molly Huddle,USA,31.08.84,Ad-Dawhah,28.09.2019
339,31:07.34,Meseret Defar,ETH,19.11.83,Stockholm,30.05.2009
340,31:07.56,Veronica Nyaruai Wanjiru,KEN,29.10.89,Hengelo,10.06.2017
341,31:07.58,Alla Zhilyayeva,RUS,05.02.69,Tula,25.06.2004
