Place,Time,Wind,Athlete,Country,Date of Birth,City,Event Date
1,21.34,+1.3,Florence Griffith-Joyner,USA,21.12.59,Seoul,29.09.1988
2,21.45,+0.6,Shericka Jackson,JAM,16.07.94,Eugene,21.07.2022
3,21.53,+0.8,Elaine Thompson-Herah,JAM,28.06.92,Tokyo,03.08.2021
4,21.55,±0.0,Shericka Jackson,JAM,16.07.94,Kingston,26.06.2022
5,21.56,+1.7,Florence Griffith-Joyner,USA,21.12.59,Seoul,29.09.1988
6,21.61,+1.3,Gabrielle Thomas,USA,07.12.96,Eugene,26.06.2021
7,21.62A,-0.6,Marion Jones,USA,12.10.75,Johannesburg,11.09.1998
8,21.63,+0.2,Dafne Schippers,NED,15.06.92,Beijing,28.08.2015
9,21.64,+0.8,Merlene Ottey,JAM,10.05.60,Bruxelles,13.09.1991
10,21.66,-1.0,Merlene Ottey,JAM,10.05.60,Zürich,15.08.1990
10,21.66,+0.2,Elaine Thompson-Herah,JAM,28.06.92,Beijing,28.08.2015
10,21.66,+0.3,Elaine Thompson-Herah,JAM,28.06.92,Tokyo,02.08.2021
13,21.67,+2.0,Shericka Jackson,JAM,16.07.94,Eugene,19.07.2022
14,21.69,+1.0,Allyson Felix,USA,18.11.85,Eugene,30.06.2012
15,21.71,+0.7,Marita Koch,GDR,18.02.57,Karl-Marx-Stadt,10.06.1979
15,21.71,+0.3,Marita Koch,GDR,18.02.57,Potsdam,21.07.1984
15,21.71,+1.2,Heike Drechsler,GER,16.12.64,Jena,29.06.1986
15,21.71,-0.8,Heike Drechsler,GER,16.12.64,Stuttgart,29.08.1986
19,21.72,+1.3,Grace Jackson,JAM,14.06.61,Seoul,29.09.1988
19,21.72,-0.1,Gwen Torrence,USA,12.06.65,Barcelona,05.08.1992
21,21.74,+0.4,Marlies Göhr,GDR,21.03.58,Erfurt,03.06.1984
21,21.74,+1.2,Silke Möller,GER,20.06.64,Roma,03.09.1987
21,21.74,+0.6,Veronica Campbell-Brown,JAM,16.05.82,Beijing,21.08.2008
21,21.74,-0.4,Shaunae Miller-Uibo,BAH,15.04.94,Zürich,29.08.2019
