Place,Time,Wind,Athlete,Country,Date of Birth,City,Event Date
25,21.75,-0.1,Juliet Cuthbert,JAM,09.04.64,Barcelona,05.08.1992
26,21.76,+0.3,Marita Koch,GDR,18.02.57,Dresden,03.07.1982
26,21.76,+0.7,Florence Griffith-Joyner,USA,21.12.59,Seoul,28.09.1988
26,21.76,-0.8,Marion Jones,USA,12.10.75,Zürich,13.08.1997
29,21.77,-0.1,Florence Griffith-Joyner,USA,21.12.59,Indianapolis,22.07.1988
29,21.77,+1.0,Merlene Ottey,JAM,10.05.60,Monaco,07.08.1993
29,21.77,-0.3,Gwen Torrence,USA,12.06.65,Köln,18.08.1995
29,21.77,+0.6,Inger Miller,USA,12.06.72,Sevilla,27.08.1999
29,21.77,+1.5,Tori Bowie,USA,27.08.90,Eugene,27.05.2017
29,21.77,-0.3,Abby Steiner,USA,24.11.99,Eugene,26.06.2022
35,21.78,-1.3,Marita Koch,GDR,18.02.57,Leipzig,11.08.1985
35,21.78,-0.1,Elaine Thompson-Herah,JAM,28.06.92,Rio de Janeiro,17.08.2016
35,21.78,+0.6,Christine Mboma,NAM,22.05.03,Zürich,09.09.2021
38,21.79,+1.7,Silke Möller,GER,20.06.64,Potsdam,22.08.1987
38,21.79,+0.8,Shelly-Ann Fraser-Pryce,JAM,27.12.86,Kingston,27.06.2021
40,21.80,-1.1,Merlene Ottey,JAM,10.05.60,Nice,10.07.1990
40,21.80,+0.4,Marion Jones,USA,12.10.75,Uniondale,20.07.1998
40,21.80,+1.3,Abby Steiner,USA,24.11.99,Eugene,11.06.2022
40,21.80,+0.9,Abby Steiner,USA,24.11.99,Eugene,26.06.2022
40,21.80,-0.9,Shericka Jackson,JAM,16.07.94,Zürich,08.09.2022
45,21.81,-0.1,Valerie Brisco,USA,06.07.60,Los Angeles,09.08.1984
45,21.81,+0.4,Merlene Ottey,JAM,10.05.60,Köln,19.08.1990
45,21.81,-0.6,Gwen Torrence,USA,12.06.65,Barcelona,06.08.1992
45,21.81,±0.0,Gwen Torrence,USA,12.06.65,Monaco,25.07.1995
45,21.81,+1.6,Marion Jones,USA,12.10.75,Eugene,30.05.1999
45,21.81,+1.7,Allyson Felix,USA,18.11.85,Osaka,31.08.2007
45,21.81,+0.8,Christine Mboma,NAM,22.05.03,Tokyo,03.08.2021
45,21.81,+0.6,Shericka Jackson,JAM,16.07.94,Zürich,09.09.2021
45,21.81,+0.6,Shelly-Ann Fraser-Pryce,JAM,27.12.86,Eugene,21.07.2022
54,21.82,+1.3,Marita Koch,GDR,18.02.57,Karl-Marx-Stadt,18.06.1983
54,21.82,+0.8,Shericka Jackson,JAM,16.07.94,Kingston,27.06.2021
54,21.82,-0.1,Shelly-Ann Fraser-Pryce,JAM,27.12.86,Eugene,19.07.2022
57,21.83,-0.2,Evelyn Ashford,USA,15.04.57,Montréal,24.08.1979
57,21.83,+0.5,Merlene Ottey,JAM,10.05.60,Köln,08.09.1991
59,21.84,-1.1,Evelyn Ashford,USA,15.04.57,Bruxelles,28.08.1981
59,21.84,+1.0,Heike Drechsler,GER,16.12.64,Rostock,26.06.1988
59,21.84A,-1.1,Marion Jones,USA,12.10.75,Roodepoort,19.03.1999
59,21.84A,+1.1,Christine Mboma,NAM,22.05.03,Nairobi,21.08.2021
59,21.84,+0.4,Christine Mboma,NAM,22.05.03,Bruxelles,03.09.2021
59,21.84,+0.2,Shericka Jackson,JAM,16.07.94,Chorzów,06.08.2022
65,21.85,+0.3,Bärbel Wöckel,GDR,21.03.55,Potsdam,21.07.1984
65,21.85,+1.3,Florence Griffith-Joyner,USA,21.12.59,Indianapolis,23.07.1988
65,21.85,-0.8,Gwen Torrence,USA,12.06.65,Durham,12.08.1994
65,21.85,+0.2,Elaine Thompson-Herah,JAM,28.06.92,Zürich,01.09.2016
69,21.86,+1.0,Gwen Torrence,USA,12.06.65,Bruxelles,25.08.1995
69,21.86,+0.2,Dafne Schippers,NED,15.06.92,Zürich,01.09.2016
71,21.87,±0.0,Marita Koch,GDR,18.02.57,Zürich,22.08.1984
71,21.87,±0.0,Irina Privalova,RUS,12.11.68,Monaco,25.07.1995
71,21.87,+0.8,Gabrielle Thomas,USA,07.12.96,Tokyo,03.08.2021
71,21.87A,+0.6,Christine Mboma,NAM,22.05.03,Gaborone,30.04.2022
75,21.88,+0.9,Evelyn Ashford,USA,15.04.57,Indianapolis,19.06.1983
75,21.88A,+1.6,Merlene Ottey,JAM,10.05.60,Sestriere,08.08.1990
75,21.88,+1.0,Merlene Ottey,JAM,10.05.60,Athínai,07.09.1990
75,21.88,+2.0,Irina Privalova,RUS,12.11.68,Rieti,05.09.1993
75,21.88,+1.3,Allyson Felix,USA,18.11.85,Stockholm,31.07.2009
75,21.88,-0.2,Allyson Felix,USA,18.11.85,London,08.08.2012
75,21.88,-0.1,Dafne Schippers,NED,15.06.92,Rio de Janeiro,17.08.2016
75,21.88,+0.1,Shaunae Miller-Uibo,BAH,15.04.94,Zürich,24.08.2017
75,21.88,+0.9,Dina Asher-Smith,GBR,04.12.95,Ad-Dawhah,02.10.2019
84,21.89,+0.2,Dina Asher-Smith,GBR,04.12.95,Berlin,11.08.2018
84,21.89,+1.3,Jenna Prandini,USA,20.11.92,Eugene,26.06.2021
86,21.90,+1.9,Marita Koch,GDR,18.02.57,Dresden,03.08.1985
86,21.90,-0.7,Marita Koch,GDR,18.02.57,Canberra,04.10.1985
88,21.91A,+1.9,Marita Koch,GDR,18.02.57,Ciudad de México,12.09.1979
88,21.91,-0.4,Marion Jones,USA,12.10.75,Helsinki,10.06.1999
88,21.91,+1.5,Shaunae Miller-Uibo,BAH,15.04.94,Eugene,27.05.2017
88,21.91,+1.3,Shericka Jackson,JAM,16.07.94,Roma,09.06.2022
88,21.91,+1.8,Julien Alfred,LCA,10.06.01,Gainesville,14.04.2023
93,21.92,+0.9,Gwen Torrence,USA,12.06.65,Bruxelles,03.09.1993
93,21.92,+0.4,Marion Jones,USA,12.10.75,Monaco,16.08.1997
93,21.92,-0.3,Tamara Clark,USA,09.01.99,Eugene,26.06.2022
96,21.93,+0.9,Merlene Ottey,JAM,10.05.60,Indianapolis,16.06.1985
96,21.93,+1.3,Pam Marshall,USA,16.08.60,Indianapolis,23.07.1988
96,21.93,+1.8,Irina Privalova,RUS,12.11.68,København,25.08.1992
96,21.93,+1.0,Merlene Ottey,JAM,10.05.60,Bruxelles,25.08.1995
96,21.93,+0.1,Marion Jones,USA,12.10.75,Köln,24.08.1997
96,21.93,+0.6,Allyson Felix,USA,18.11.85,Beijing,21.08.2008
96,21.93,+0.7,Dafne Schippers,NED,15.06.92,Oslo,09.06.2016
103,21.94,-1.3,Heike Drechsler,GER,16.12.64,Düsseldorf,20.06.1988
103,21.94,+1.1,Merlene Ottey,JAM,10.05.60,Berlin,04.07.1990
103,21.94,-0.9,Merlene Ottey,JAM,10.05.60,Barcelona,03.08.1992
103,21.94,+0.9,Gwen Torrence,USA,12.06.65,Oslo,22.07.1994
103,21.94,+0.5,Marion Jones,USA,12.10.75,Sacramento,23.07.2000
103,21.94,+1.1,Veronica Campbell-Brown,JAM,16.05.82,Kingston,29.06.2008
103,21.94,+1.8,Gabrielle Thomas,USA,07.12.96,Eugene,25.06.2021
103,21.94,+0.8,Shelly-Ann Fraser-Pryce,JAM,27.12.86,Tokyo,03.08.2021
111,21.95,+1.3,Heike Drechsler,GER,16.12.64,Seoul,29.09.1988
111,21.95,+0.3,Katrin Krabbe,GER,22.11.69,Split,30.08.1990
111,21.95,+1.3,Anavia Battle,USA,28.03.99,Eugene,26.06.2021
111,21.95,+0.4,Shericka Jackson,JAM,16.07.94,Bruxelles,03.09.2021
111,21.95,+1.4,Tamara Clark,USA,09.01.99,Eugene,19.07.2022
116,21.96,+1.2,Florence Griffith-Joyner,USA,21.12.59,Roma,03.09.1987
116,21.96,+0.6,Florence Griffith-Joyner,USA,21.12.59,Indianapolis,22.07.1988
116,21.96,+0.2,Katrin Krabbe,GER,22.11.69,Berlin,10.09.1991
116,21.96,+0.1,Dafne Schippers,NED,15.06.92,Rio de Janeiro,16.08.2016
116,21.96,-0.3,Shericka Jackson,JAM,16.07.94,Székesfehérvár,06.07.2021
116,21.96,+1.3,Favour Ofili,NGR,31.12.02,Gainesville,15.04.2022
116,21.96,+1.4,Dina Asher-Smith,GBR,04.12.95,Eugene,19.07.2022
123,21.97,+1.9,Jarmila Kratochvílová,CZE,26.01.51,Bratislava,06.06.1981
123,21.97,-1.4,Evelyn Ashford,USA,15.04.57,Zürich,13.08.1986
123,21.97,+1.1,Merlene Ottey,JAM,10.05.60,Villeneuve d'Ascq,29.06.1990
123,21.97,+0.2,Veronica Campbell-Brown,JAM,16.05.82,Beijing,28.08.2015
123,21.97,+0.3,Christine Mboma,NAM,22.05.03,Tokyo,02.08.2021
123,21.97,+1.4,Elaine Thompson-Herah,JAM,28.06.92,Eugene,19.07.2022
129,21.98,-1.1,Valerie Brisco,USA,06.07.60,Zürich,21.08.1985
129,21.98,+0.6,Merlene Ottey,JAM,10.05.60,Monaco,03.08.1991
129,21.98,±0.0,Merlene Ottey,JAM,10.05.60,Stuttgart,19.08.1993
129,21.98,-0.7,Gwen Torrence,USA,12.06.65,Zürich,16.08.1995
129,21.98,+0.9,Gwen Torrence,USA,12.06.65,Berlin,01.09.1995
129,21.98,-1.2,Marion Jones,USA,12.10.75,Sydney,28.02.1998
129,21.98,+0.4,Veronica Campbell-Brown,JAM,16.05.82,Barcelona,19.07.2008
129,21.98,+1.4,Veronica Campbell-Brown,JAM,16.05.82,New York City,12.06.2010
129,21.98,+1.6,Allyson Felix,USA,18.11.85,Ad-Dawhah,15.05.2015
129,21.98,+1.5,Elaine Thompson-Herah,JAM,28.06.92,Eugene,27.05.2017
129,21.98,+2.0,Shaunae Miller-Uibo,BAH,15.04.94,Clermont,25.07.2020
129,21.98,+0.7,Gabrielle Thomas,USA,07.12.96,Eugene,24.06.2021
129,21.98,+1.3,Tamara Clark,USA,09.01.99,Eugene,26.06.2021
129,21.98,+1.3,Gabrielle Thomas,USA,07.12.96,Ad-Dawhah,13.05.2022
129,21.98,+1.1,Aminatou Seyni,NIG,24.10.96,Eugene,18.07.2022
129,21.98,+0.8,Shericka Jackson,JAM,16.07.94,Rabat,28.05.2023
145,21.99,+0.9,Chandra Cheeseborough,USA,10.01.59,Indianapolis,19.06.1983
145,21.99,+1.3,Silke Möller,GER,20.06.64,Praha,28.06.1987
145,21.99,+1.7,Heike Drechsler,GER,16.12.64,Karl-Marx-Stadt,12.06.1988
145,21.99,+1.3,Merlene Ottey,JAM,10.05.60,Seoul,29.09.1988
145,21.99,+1.8,Irina Privalova,RUS,12.11.68,Rieti,06.09.1992
145,21.99,+1.1,Marie-José Pérec,FRA,09.05.68,Villeneuve d'Ascq,02.07.1993
145,21.99,+1.1,Irina Privalova,RUS,12.11.68,Villeneuve d'Ascq,02.07.1993
145,21.99,+0.2,Marion Jones,USA,12.10.75,Paris,21.07.1999
145,21.99,+1.1,Kerron Stewart,JAM,16.04.84,Kingston,29.06.2008
145,21.99,+1.9,Tori Bowie,USA,27.08.90,Eugene,28.05.2016
145,21.99,-0.3,Jenna Prandini,USA,20.11.92,Eugene,25.06.2021
145,21.99,+0.5,Brittany Brown,USA,18.04.95,Nashville,05.06.2022
157,22.00,+0.6,Merlene Ottey,JAM,10.05.60,Bruxelles,28.08.1992
157,22.00,±0.0,Gwen Torrence,USA,12.06.65,Stuttgart,19.08.1993
157,22.00,+1.3,Sherone Simpson,JAM,12.08.84,Kingston,25.06.2006
157,22.00,-0.3,Sherone Simpson,JAM,12.08.84,Stockholm,25.07.2006
157,22.00,+0.6,Kerron Stewart,JAM,16.04.84,Beijing,21.08.2008
157,22.00,+0.1,Elaine Thompson-Herah,JAM,28.06.92,Zürich,24.08.2017
157,22.00,-0.2,Elaine Thompson-Herah,JAM,28.06.92,Kingston,23.06.2019
157,22.00,+1.3,Sha'Carri Richardson,USA,25.03.00,Montverde,10.08.2020
165,22.01,+0.6,Bärbel Wöckel,GDR,21.03.55,Cottbus,18.07.1980
165,22.01,-0.5,Anelia Nuneva,BUL,30.06.62,Sofia,16.08.1987
165,22.01,±0.0,Juliet Cuthbert,JAM,09.04.64,Barcelona,03.08.1992
165,22.01,±0.0,Li Xuemei,CHN,05.01.77,Shanghai,22.10.1997
165,22.01,+0.6,Muna Lee,USA,30.10.81,Beijing,21.08.2008
165,22.01,+0.2,Candyce McGrone,USA,24.03.89,Beijing,28.08.2015
165,22.01,+0.3,Gabrielle Thomas,USA,07.12.96,Tokyo,02.08.2021
165,22.01,-0.3,Jenna Prandini,USA,20.11.92,Eugene,26.06.2022
173,22.02,-1.4,Marita Koch,GDR,18.02.57,Leipzig,03.06.1979
173,22.02,-0.2,Marita Koch,GDR,18.02.57,Montréal,24.08.1979
173,22.02,+0.3,Marita Koch,GDR,18.02.57,Berlin,31.07.1983
173,22.02,+0.2,Marita Koch,GDR,18.02.57,Moskva,18.08.1985
173,22.02,+1.3,Gwen Torrence,USA,12.06.65,Indianapolis,23.07.1988
173,22.02,-0.6,Juliet Cuthbert,JAM,09.04.64,Barcelona,06.08.1992
173,22.02,-0.6,Irina Privalova,RUS,12.11.68,Zürich,19.08.1992
173,22.02,+1.8,Gwen Torrence,USA,12.06.65,København,25.08.1992
173,22.02,+0.5,Irina Privalova,RUS,12.11.68,Stockholm,12.07.1994
173,22.02,-0.1,Allyson Felix,USA,18.11.85,Berlin,21.08.2009
173,22.02,+0.1,Allyson Felix,USA,18.11.85,Bruxelles,05.09.2014
173,22.02,-0.3,Dafne Schippers,NED,15.06.92,Hengelo,22.05.2016
173,22.02,+0.2,Allyson Felix,USA,18.11.85,Zürich,01.09.2016
173,22.02,+1.1,Kyra Jefferson,USA,23.09.94,Eugene,10.06.2017
173,22.02,+0.8,Elaine Thompson-Herah,JAM,28.06.92,Kingston,27.06.2021
173,22.02,+1.9,Gabrielle Thomas,USA,07.12.96,Walnut,16.04.2022
173,22.02,+0.6,Shericka Jackson,JAM,16.07.94,Székesfehérvár,08.06.2022
173,22.02,+0.5,Abby Steiner,USA,24.11.99,Eugene,09.06.2022
173,22.02,+0.6,Dina Asher-Smith,GBR,04.12.95,Eugene,21.07.2022
173,22.02,+0.6,Elaine Thompson-Herah,JAM,28.06.92,Birmingham,06.08.2022
193,22.03,+1.5,Bärbel Wöckel,GDR,21.03.55,Moskva,30.07.1980
193,22.03,+1.1,Marita Koch,GDR,18.02.57,Erfurt,23.06.1985
193,22.03,+1.9,Silke Möller,GER,20.06.64,Karl-Marx-Stadt,21.06.1987
193,22.03,+0.8,Gwen Torrence,USA,12.06.65,New Orleans,28.06.1992
193,22.03,+0.2,Merlene Ottey,JAM,10.05.60,Torino,04.09.1992
193,22.03,+1.4,Allyson Felix,USA,18.11.85,New York City,12.06.2010
193,22.03,-0.5,Dafne Schippers,NED,15.06.92,Zürich,15.08.2014
193,22.03,+1.5,Shaunae Miller-Uibo,BAH,15.04.94,Clermont,04.04.2021
201,22.04,+0.9,Bärbel Wöckel,GDR,21.03.55,Athínai,09.09.1982
201,22.04,-0.1,Florence Griffith-Joyner,USA,21.12.59,Los Angeles,09.08.1984
201,22.04A,+0.7,Dawn Sowell,USA,27.03.66,Provo,02.06.1989
201,22.04,+0.5,Gwen Torrence,USA,12.06.65,Stockholm,12.07.1994
201,22.04,+0.6,Gwen Torrence,USA,12.06.65,New York City,21.05.1995
201,22.04,+0.5,Blessing Okagbare,NGR,09.10.88,Abilene,24.03.2018
201,22.04,+0.4,Dina Asher-Smith,GBR,04.12.95,Bruxelles,03.09.2021
201,22.04,+0.3,Christine Mboma,NAM,22.05.03,Zagreb,14.09.2021
201,22.04,+0.2,Favour Ofili,NGR,31.12.02,Oxford MS,14.05.2022
201,22.04,+2.0,Aminatou Seyni,NIG,24.10.96,Eugene,19.07.2022
211,22.05,+0.1,Marita Koch,GDR,18.02.57,Karl-Marx-Stadt,11.08.1979
211,22.05,+1.8,Merlene Ottey,JAM,10.05.60,Berlin,23.06.1991
211,22.05,+1.7,Irina Privalova,RUS,12.11.68,Moskva,19.07.1992
211,22.05,+0.8,Veronica Campbell-Brown,JAM,16.05.82,Athínai,25.08.2004
211,22.05,+1.3,Shaunae Miller-Uibo,BAH,15.04.94,Kingston,11.06.2016
211,22.05,+0.8,Dafne Schippers,NED,15.06.92,London,11.08.2017
211,22.05,+1.1,Shericka Jackson,JAM,16.07.94,Paris,30.06.2018
211,22.05,+1.9,Blessing Okagbare,NGR,09.10.88,Palo Alto,30.06.2019
211,22.05,+0.5,Abby Steiner,USA,24.11.99,Lexington,22.04.2022
211,22.05,+1.3,Favour Ofili,NGR,31.12.02,Eugene,11.06.2022
211,22.05,+1.0,Tamara Clark,USA,09.01.99,Eugene,26.06.2022
211,22.05,±0.0,Elaine Thompson-Herah,JAM,28.06.92,Kingston,26.06.2022
211,22.05,+2.0,Mujinga Kambundji,SUI,17.06.92,Eugene,19.07.2022
211,22.05,-0.4,Gabrielle Thomas,USA,07.12.96,Paris,09.06.2023
225,22.06,+1.2,Marita Koch,GDR,18.02.57,Erfurt,28.05.1978
225,22.06,+0.3,Evelyn Ashford,USA,15.04.57,Bruxelles,05.09.1986
225,22.06,-1.8,Pam Marshall,USA,16.08.60,Zürich,19.08.1987
225,22.06,+1.2,Merlene Ottey,JAM,10.05.60,Roma,03.09.1987
225,22.06A,+0.7,Evette de Klerk,RSA,21.08.65,Pietersburg,08.04.1989
225,22.06,+0.2,Irina Privalova,RUS,12.11.68,Torino,04.09.1992
225,22.06,+0.4,Merlene Ottey,JAM,10.05.60,Monaco,16.08.1997
225,22.06,-0.4,Shaunae Miller-Uibo,BAH,15.04.94,Shanghai,12.05.2018
225,22.06,+0.2,Dina Asher-Smith,GBR,04.12.95,Firenze,10.06.2021
234,22.07,Marita,Koch,GDR,18.02.57,Karl-Marx-Stadt,03.06.1978
234,22.07,-1.0,Jarmila Kratochvílová,CZE,26.01.51,Ostrava,03.06.1981
234,22.07,±0.0,Bärbel Wöckel,GDR,21.03.55,Jena,09.08.1981
234,22.07,+1.2,Silke Möller,GER,20.06.64,Jena,29.06.1986
234,22.07,+1.7,Merlene Ottey,JAM,10.05.60,Seoul,29.09.1988
234,22.07,+0.8,Gwen Torrence,USA,12.06.65,Bruxelles,13.09.1991
234,22.07,±0.0,Irina Privalova,RUS,12.11.68,Monaco,11.08.1992
234,22.07,+0.6,Irina Privalova,RUS,12.11.68,Bruxelles,28.08.1992
234,22.07,+0.4,Merlene Ottey,JAM,10.05.60,Berlin,30.08.1994
234,22.07,+1.6,Merlene Ottey,JAM,10.05.60,Lausanne,05.07.1995
234,22.07,-0.3,Merlene Ottey,JAM,10.05.60,Köln,18.08.1995
234,22.07,+0.4,Marie-José Pérec,FRA,09.05.68,Atlanta,01.08.1996
234,22.07,-0.1,Mary Onyali,NGR,03.02.68,Zürich,14.08.1996
234,22.07,+0.6,Marion Jones,USA,12.10.75,Stockholm,30.07.1999
234,22.07,+0.2,Dina Asher-Smith,GBR,04.12.95,Beijing,28.08.2015
234,22.07,+1.3,Shericka Jackson,JAM,16.07.94,Ad-Dawhah,13.05.2022
234,22.07,+0.2,Abby Steiner,USA,24.11.99,Oxford MS,14.05.2022
234,22.07A,+1.7,Sha'Carri Richardson,USA,25.03.00,Nairobi,13.05.2023
252,22.08,+2.0,Heike Drechsler,GER,16.12.64,Berlin,13.09.1988
252,22.08,-0.1,Irina Privalova,RUS,12.11.68,Barcelona,05.08.1992
252,22.08,±0.0,Merlene Ottey,JAM,10.05.60,Monaco,11.08.1992
252,22.08,+0.9,Irina Privalova,RUS,12.11.68,Bruxelles,03.09.1993
252,22.08,+0.1,Merlene Ottey,JAM,10.05.60,Atlanta,01.08.1996
252,22.08,-0.3,Candyce McGrone,USA,24.03.89,Monaco,17.07.2015
252,22.08,+0.8,Marie-Josée Ta Lou,CIV,18.11.88,London,11.08.2017
252,22.08,-0.4,Dina Asher-Smith,GBR,04.12.95,Zürich,29.08.2019
252,22.08,+0.7,Favour Ofili,NGR,31.12.02,Bloomington,28.05.2022
252,22.08,+2.0,Jenna Prandini,USA,20.11.92,Eugene,19.07.2022
262,22.09,-0.1,Merlene Ottey,JAM,10.05.60,Los Angeles,09.08.1984
262,22.09,+1.3,Silke Möller,GER,20.06.64,Seoul,29.09.1988
262,22.09,-2.4,Katrin Krabbe,GER,22.11.69,Tokyo,30.08.1991
262,22.09,-0.6,Merlene Ottey,JAM,10.05.60,Barcelona,06.08.1992
262,22.09,-0.7,Gwen Torrence,USA,12.06.65,Sankt Peterburg,25.07.1994
262,22.09,±0.0,Merlene Ottey,JAM,10.05.60,Bellinzona,12.07.1996
262,22.09,+0.5,Inger Miller,USA,12.06.72,Sacramento,23.07.2000
262,22.09,-0.3,Sanya Richards-Ross,USA,26.02.85,New York City,09.06.2012
262,22.09,-0.2,Shelly-Ann Fraser-Pryce,JAM,27.12.86,London,08.08.2012
262,22.09,+1.9,Allyson Felix,USA,18.11.85,Lausanne,09.07.2015
262,22.09,-0.3,Dafne Schippers,NED,15.06.92,Monaco,17.07.2015
262,22.09,-0.3,Tori Bowie,USA,27.08.90,Gainesville,28.04.2017
262,22.09,+1.5,Deajah Stevens,USA,19.05.95,Eugene,14.05.2017
262,22.09,+0.5,Elaine Thompson-Herah,JAM,28.06.92,Kingston,20.05.2017
262,22.09,+0.1,Marie-Josée Ta Lou,CIV,18.11.88,Zürich,24.08.2017
262,22.09,+0.9,Shaunae Miller-Uibo,BAH,15.04.94,Gold Coast,12.04.2018
262,22.09,+0.1,Shaunae Miller-Uibo,BAH,15.04.94,Monaco,12.07.2019
262,22.09,+2.0,Julien Alfred,LCA,10.06.01,Norman,13.05.2023
262,22.09,+1.4,Latasha Smith,USA,13.07.01,Tampa,14.05.2023
281,22.10,±0.0,Evelyn Ashford,USA,15.04.57,Nice,14.08.1982
281,22.10,-0.1,Kathy Cook,GBR,03.05.60,Los Angeles,09.08.1984
281,22.10,±0.0,Bärbel Wöckel,GDR,21.03.55,Zürich,22.08.1984
281,22.10,+0.3,Heike Drechsler,GER,16.12.64,Bruxelles,05.09.1986
281,22.10A,+0.7,Evette de Klerk,RSA,21.08.65,Pretoria,29.04.1989
281,22.10,-0.6,Gwen Torrence,USA,12.06.65,Zürich,19.08.1992
281,22.10,+0.2,Gwen Torrence,USA,12.06.65,Torino,04.09.1992
281,22.10,+0.2,Gwen Torrence,USA,12.06.65,Fukuoka,18.09.1993
281,22.10,+0.8,Inger Miller,USA,12.06.72,Athínai,16.06.1999
281,22.10,+2.0,Marion Jones,USA,12.10.75,Eugene,27.06.1999
281,22.10,+0.6,Marion Jones,USA,12.10.75,Zürich,11.08.1999
281,22.10,+0.6,Shelly-Ann Fraser-Pryce,JAM,27.12.86,Kingston,01.07.2012
281,22.10,-0.3,Elaine Thompson-Herah,JAM,28.06.92,London,25.07.2015
281,22.10,-0.5,Dafne Schippers,NED,15.06.92,Lausanne,06.07.2017
281,22.10,-0.4,Shericka Jackson,JAM,16.07.94,Stockholm,04.07.2021
296,22.11,+1.3,Valerie Brisco,USA,06.07.60,Indianapolis,23.07.1988
296,22.11,+1.0,Merlene Ottey,JAM,10.05.60,Nice,15.07.1992
296,22.11A,-0.5,Allyson Felix,USA,18.11.85,Ciudad de México,03.05.2003
296,22.11,+0.6,Allyson Felix,USA,18.11.85,Stuttgart,09.09.2006
296,22.11,+1.1,Sherone Simpson,JAM,12.08.84,Kingston,29.06.2008
296,22.11,+1.0,Carmelita Jeter,USA,24.11.79,Eugene,30.06.2012
296,22.11,+0.1,Myriam Soumaré,FRA,29.10.86,Bruxelles,05.09.2014
296,22.11,+1.9,Dafne Schippers,NED,15.06.92,Eugene,28.05.2016
296,22.11,+0.1,Shaunae Miller-Uibo,BAH,15.04.94,Kingston,09.06.2018
296,22.11,+1.0,Sha'Carri Richardson,USA,25.03.00,Gainesville,16.04.2021
296,22.11,+1.3,Allyson Felix,USA,18.11.85,Eugene,26.06.2021
296,22.11,+0.1,Marie-Josée Ta Lou,CIV,18.11.88,Tokyo,02.08.2021
296,22.11,+0.7,Christine Mboma,NAM,22.05.03,Tokyo,02.08.2021
296,22.11,+0.9,Cambrea Sturgis,USA,27.03.99,Eugene,26.06.2022
310,22.12,-1.3,Silke Möller,GER,20.06.64,Leipzig,11.08.1985
310,22.12,+1.2,Pam Marshall,USA,16.08.60,Moskva,08.07.1986
310,22.12,+0.9,Merlene Ottey,JAM,10.05.60,Granada,26.05.1990
310,22.12,-1.4,Katrin Krabbe,GER,22.11.69,Hannover,28.07.1991
310,22.12,-1.6,Merlene Ottey,JAM,10.05.60,Barcelona,05.08.1992
310,22.12,-0.6,Merlene Ottey,JAM,10.05.60,Zürich,19.08.1992
310,22.12,+0.2,Merlene Ottey,JAM,10.05.60,Stuttgart,19.08.1993
310,22.12,-2.2,Merlene Ottey,JAM,10.05.60,Göteborg,10.08.1995
310,22.12,-2.2,Irina Privalova,RUS,12.11.68,Göteborg,10.08.1995
310,22.12,-0.7,Merlene Ottey,JAM,10.05.60,Zürich,16.08.1995
310,22.12,+0.3,Marie-José Pérec,FRA,09.05.68,Atlanta,01.08.1996
310,22.12,-0.1,Dina Asher-Smith,GBR,04.12.95,Beijing,27.08.2015
310,22.12,±0.0,Dafne Schippers,NED,15.06.92,Bruxelles,11.09.2015
310,22.12,+0.1,Shaunae Miller-Uibo,BAH,15.04.94,Bruxelles,31.08.2018
310,22.12,+0.2,Cambrea Sturgis,USA,27.03.99,Eugene,12.06.2021
