Place,Time,Athlete,Country,Date of Birth,City,Event Date
1,1:40.91,David Rudisha,KEN,17.12.88,London,09.08.2012
2,1:41.01,David Rudisha,KEN,17.12.88,Rieti,29.08.2010
3,1:41.09,David Rudisha,KEN,17.12.88,Berlin,22.08.2010
4,1:41.11,Wilson Kipketer,DEN,12.12.70,Köln,24.08.1997
5,1:41.24,Wilson Kipketer,DEN,12.12.70,Zürich,13.08.1997
6,1:41.33,David Rudisha,KEN,17.12.88,Rieti,10.09.2011
7,1:41.51,David Rudisha,KEN,17.12.88,Heusden-Zolder,10.07.2010
8,1:41.54,David Rudisha,KEN,17.12.88,Saint-Denis,06.07.2012
9,1:41.73,Sebastian Coe,GBR,29.09.56,Firenze,10.06.1981
9,1:41.73,Wilson Kipketer,DEN,12.12.70,Stockholm,07.07.1997
9,1:41.73,Nijel Amos,BOT,15.03.94,London,09.08.2012
12,1:41.74,David Rudisha,KEN,17.12.88,New York City,09.06.2012
13,1:41.77,Joaquim Cruz,BRA,12.03.63,Köln,26.08.1984
14,1:41.83,Wilson Kipketer,DEN,12.12.70,Rieti,01.09.1996
15,1:41.89,Nijel Amos,BOT,15.03.94,Monaco,12.07.2019
16,1:42.01,David Rudisha,KEN,17.12.88,Rieti,06.09.2009
17,1:42.04,David Rudisha,KEN,17.12.88,Oslo,04.06.2010
18,1:42.05,Emmanuel Korir,KEN,15.06.95,London,22.07.2018
19,1:42.12A,David Rudisha,KEN,17.12.88,Nairobi,23.06.2012
20,1:42.14,Nijel Amos,BOT,15.03.94,Monaco,20.07.2018
21,1:42.15,David Rudisha,KEN,17.12.88,Rio de Janeiro,15.08.2016
22,1:42.17,Wilson Kipketer,DEN,12.12.70,Tokyo,16.09.1996
23,1:42.20,Wilson Kipketer,DEN,12.12.70,Bruxelles,22.08.1997
24,1:42.23,Abubaker Kaki Khamis,SUD,21.06.89,Oslo,04.06.2010
25,1:42.27,Wilson Kipketer,DEN,12.12.70,Bruxelles,03.09.1999
26,1:42.28,Sammy Koskei,KEN,14.05.61,Köln,26.08.1984
27,1:42.32,Wilson Kipketer,DEN,12.12.70,Rieti,08.09.2002
28,1:42.33,Sebastian Coe,GBR,29.09.56,Oslo,05.07.1979
29,1:42.34,Joaquim Cruz,BRA,12.03.63,Zürich,22.08.1984
29,1:42.34,Wilfred Bungei,KEN,24.07.80,Rieti,08.09.2002
29,1:42.34,Donavan Brazier,USA,15.04.97,Ad-Dawhah,01.10.2019
32,1:42.37,Mohammed Aman,ETH,10.01.94,Bruxelles,06.09.2013
33,1:42.41,Joaquim Cruz,BRA,12.03.63,Bruxelles,24.08.1984
34,1:42.45,Nijel Amos,BOT,15.03.94,Monaco,18.07.2014
35,1:42.47,Yuriy Borzakovskiy,RUS,12.04.81,Bruxelles,24.08.2001
36,1:42.49,Joaquim Cruz,BRA,12.03.63,Koblenz,28.08.1985
37,1:42.51,Wilson Kipketer,DEN,12.12.70,Nice,10.07.1996
37,1:42.51,Amel Tuka,BIH,09.01.91,Monaco,17.07.2015
39,1:42.52,Wilfred Bungei,KEN,24.07.80,Bruxelles,05.09.2003
40,1:42.53,Timothy Kitum,KEN,20.11.94,London,09.08.2012
40,1:42.53,Mohammed Aman,ETH,10.01.94,Zürich,30.08.2012
40,1:42.53,Pierre-Ambroise Bosse,FRA,11.05.92,Monaco,18.07.2014
43,1:42.54,Joaquim Cruz,BRA,12.03.63,Köln,25.08.1985
43,1:42.54,Ferguson Cheruiyot,KEN,30.11.89,Monaco,12.07.2019
45,1:42.55,André Bucher,SUI,19.10.76,Zürich,17.08.2001
46,1:42.57,Wilson Kipketer,DEN,12.12.70,Monaco,04.08.1999
47,1:42.58,Vebjørn Rodal,NOR,16.09.72,Atlanta,31.07.1996
48,1:42.59,Wilson Kipketer,DEN,12.12.70,Monaco,10.08.1996
49,1:42.60,Johnny Gray,USA,19.06.60,Koblenz,28.08.1985
50,1:42.61,Wilson Kipketer,DEN,12.12.70,Zürich,14.08.1996
50,1:42.61,Wilson Kipketer,DEN,12.12.70,Lausanne,02.07.1997
50,1:42.61,David Rudisha,KEN,17.12.88,Monaco,22.07.2011
50,1:42.61,Taoufik Makhloufi,ALG,29.04.88,Rio de Janeiro,15.08.2016
54,1:42.62,Patrick Ndururi,KEN,12.01.69,Zürich,13.08.1997
55,1:42.65,Johnny Gray,USA,19.06.60,Zürich,17.08.1988
56,1:42.66,Nijel Amos,BOT,15.03.94,Monaco,17.07.2015
57,1:42.67,Alfred Kirwa Yego,KEN,28.11.86,Rieti,06.09.2009
58,1:42.69,Hezekiél Sepeng,RSA,30.06.74,Bruxelles,03.09.1999
58,1:42.69,Japheth Kimutai,KEN,20.12.78,Bruxelles,03.09.1999
58,1:42.69,Abubaker Kaki Khamis,SUD,21.06.89,Oslo,06.06.2008
61,1:42.70,Donavan Brazier,USA,15.04.97,Zürich,29.08.2019
