Place,Time,Athlete,Country,Date of Birth,City,Event Date
62,1:42.74,Hezekiél Sepeng,RSA,30.06.74,Atlanta,31.07.1996
62,1:42.74,Wilson Kipketer,DEN,12.12.70,Bruxelles,30.08.2002
64,1:42.75,André Bucher,SUI,19.10.76,Bruxelles,24.08.2001
65,1:42.76,Wilson Kipketer,DEN,12.12.70,Oslo,05.07.1996
65,1:42.76,Japheth Kimutai,KEN,20.12.78,Stuttgart,19.07.1998
67,1:42.77,Wilson Kipketer,DEN,12.12.70,Bruxelles,23.08.1996
67,1:42.77,Wilson Kipketer,DEN,12.12.70,Monaco,16.08.1997
69,1:42.79,Frederick Onyancha,KEN,25.12.69,Atlanta,31.07.1996
69,1:42.79,Wilson Kipketer,DEN,12.12.70,Roma,07.07.1999
69,1:42.79,Yuriy Borzakovskiy,RUS,12.04.81,Monaco,19.07.2008
69,1:42.79,Youssef Saad Kamel,BRN,29.03.83,Monaco,19.07.2008
69,1:42.79,Emmanuel Korir,KEN,15.06.95,Birmingham,18.08.2018
74,1:42.80,Johnny Gray,USA,19.06.60,New Orleans,24.06.1992
75,1:42.81,Jean-Patrick Nduwimana,BDI,09.05.78,Zürich,17.08.2001
75,1:42.81,David Rudisha,KEN,17.12.88,Zürich,30.08.2012
77,1:42.82,Duane Solomon,USA,28.12.84,London,09.08.2012
78,1:42.83,Mohammed Aman,ETH,10.01.94,Monaco,18.07.2014
79,1:42.84A,David Rudisha,KEN,17.12.88,Nairobi,30.07.2010
79,1:42.84,Ferguson Cheruiyot,KEN,30.11.89,Monaco,18.07.2014
81,1:42.85,Norberto Téllez,CUB,22.01.72,Atlanta,31.07.1996
82,1:42.86,Mbulaeni Mulaudzi,RSA,08.09.80,Rieti,06.09.2009
83,1:42.87,Wilson Kipketer,DEN,12.12.70,Monaco,25.07.1995
83,1:42.87,Wilson Kipketer,DEN,12.12.70,Zürich,16.08.1995
83,1:42.87,Japheth Kimutai,KEN,20.12.78,Zürich,12.08.1998
83,1:42.87,Alfred Kipketer,KEN,26.12.96,Saint-Denis,27.08.2016
87,1:42.88,Steve Cram,GBR,14.10.60,Zürich,21.08.1985
88,1:42.89,Mbulaeni Mulaudzi,RSA,08.09.80,Bruxelles,05.09.2003
89,1:42.90,Patrick Ndururi,KEN,12.01.69,Roma,14.07.1998
89,1:42.90,André Bucher,SUI,19.10.76,Monaco,20.07.2001
91,1:42.91,William Yiampoy,KEN,17.05.74,Rieti,08.09.2002
91,1:42.91,David Rudisha,KEN,17.12.88,London,05.08.2011
91,1:42.91,Nijel Amos,BOT,15.03.94,Monaco,09.07.2021
94,1:42.92,André Bucher,SUI,19.10.76,Bruxelles,03.09.1999
95,1:42.93,Clayton Murphy,USA,26.02.95,Rio de Janeiro,15.08.2016
96,1:42.95,Vebjørn Rodal,NOR,16.09.72,Oslo,05.07.1996
96,1:42.95,Boaz Lalang,KEN,08.02.89,Rieti,29.08.2010
96,1:42.95,Nick Symmonds,USA,30.12.83,London,09.08.2012
99,1:42.96,Johnny Gray,USA,19.06.60,Koblenz,29.08.1984
99,1:42.96,Wilfred Bungei,KEN,24.07.80,Zürich,17.08.2001
101,1:42.97,Peter Elliott,GBR,09.10.62,Sevilla,30.05.1990
101,1:42.97,Ayanleh Souleiman,DJI,03.12.92,Monaco,17.07.2015
103,1:42.98,Joaquim Cruz,BRA,12.03.63,Berlin,23.08.1985
103,1:42.98,Patrick Konchellah,KEN,20.04.68,Köln,24.08.1997
103,1:42.98,Wilson Kipketer,DEN,12.12.70,Fukuoka,13.09.1997
103,1:42.98,Japheth Kimutai,KEN,20.12.78,Roma,07.07.1999
103,1:42.98,David Rudisha,KEN,17.12.88,Monaco,18.07.2014
103,1:42.98,Taoufik Makhloufi,ALG,29.04.88,Saint-Denis,27.08.2016
103,1:42.98,Nijel Amos,BOT,15.03.94,Zürich,29.08.2019
110,1:43.00,Joaquim Cruz,BRA,12.03.63,Los Angeles,06.08.1984
110,1:43.00,William Yiampoy,KEN,17.05.74,Zürich,17.08.2001
110,1:43.00,David Rudisha,KEN,17.12.88,Ad-Dawhah,14.05.2010
113,1:43.01,Wilson Kipketer,DEN,12.12.70,Zürich,11.08.1999
114,1:43.03,Kenneth Kimwetich,KEN,01.01.73,Stuttgart,19.07.1998
114,1:43.03,Nick Symmonds,USA,30.12.83,Bruxelles,06.09.2013
116,1:43.04,Emmanuel Korir,KEN,15.06.95,Monaco,09.07.2021
117,1:43.05,Wilfred Bungei,KEN,24.07.80,Hengelo,01.06.2003
117,1:43.05,Jonathan Kitilit,KEN,24.04.94,Saint-Denis,27.08.2016
119,1:43.06,Billy Konchellah,KEN,20.10.61,Roma,01.09.1987
119,1:43.06,Wilfred Bungei,KEN,24.07.80,Zürich,06.08.2004
121,1:43.07,Sebastian Coe,GBR,29.09.56,Köln,25.08.1985
121,1:43.07,Yeimer López,CUB,20.08.82,Jerez de la Frontera,24.06.2008
123,1:43.08,José Luis Barbosa,BRA,27.05.61,Rieti,06.09.1991
123,1:43.08,Ayanleh Souleiman,DJI,03.12.92,Barcelona,08.07.2015
125,1:43.09,Japheth Kimutai,KEN,20.12.78,Monaco,04.08.1999
125,1:43.09,Djabir Said-Guerni,ALG,29.03.77,Bruxelles,03.09.1999
125,1:43.09,Mbulaeni Mulaudzi,RSA,08.09.80,Rieti,27.08.2006
125,1:43.09,Abubaker Kaki Khamis,SUD,21.06.89,Ad-Dawhah,08.05.2009
129,1:43.10,Johnny Gray,USA,19.06.60,Hengelo,14.08.1988
129,1:43.10,Abubaker Kaki Khamis,SUD,21.06.89,Hengelo,01.06.2009
129,1:43.10,Abubaker Kaki Khamis,SUD,21.06.89,Monaco,22.07.2010
129,1:43.10,David Rudisha,KEN,17.12.88,Ad-Dawhah,11.05.2012
129,1:43.10,Emmanuel Korir,KEN,15.06.95,Monaco,21.07.2017
134,1:43.11,Wilson Kipketer,DEN,12.12.70,Oslo,30.06.1999
134,1:43.11,Youssef Saad Kamel,BRN,29.03.83,Zürich,06.08.2004
134,1:43.11,Nijel Amos,BOT,15.03.94,Mannheim,09.06.2012
134,1:43.11A,Timothy Cheruiyot,KEN,20.11.95,Nairobi,22.08.2019
138,1:43.12,André Bucher,SUI,19.10.76,Lausanne,05.07.2000
138,1:43.12,Hezekiél Sepeng,RSA,30.06.74,Bruxelles,05.09.2003
138,1:43.12,Clayton Murphy,USA,26.02.95,London,22.07.2018
138,1:43.12,Wyclife Kisasy,KEN,02.07.97,London,22.07.2018
142,1:43.13,Wilson Kipketer,DEN,12.12.70,Byrkjelo,16.06.1996
142,1:43.13,Abubaker Kaki Khamis,SUD,21.06.89,London,05.08.2011
142,1:43.13,Abraham Rotich,KEN,26.06.93,Monaco,20.07.2012
145,1:43.14,Ferguson Cheruiyot,KEN,30.11.89,London,20.07.2019
146,1:43.15,Japheth Kimutai,KEN,20.12.78,Rieti,08.09.2002
146,1:43.15,Mehdi Baala,FRA,17.08.78,Rieti,08.09.2002
146,1:43.15,David Rudisha,KEN,17.12.88,Melbourne,04.03.2010
146,1:43.15,Asbel Kiprop,KEN,30.06.89,Monaco,22.07.2011
146,1:43.15,Abraham Rotich,KEN,26.06.93,Heusden-Zolder,08.07.2012
146,1:43.15,Donavan Brazier,USA,15.04.97,Monaco,14.08.2020
152,1:43.16,Paul Ereng,KEN,22.08.67,Zürich,16.08.1989
152,1:43.16,Hezekiél Sepeng,RSA,30.06.74,Monaco,04.08.1999
154,1:43.17,Benson Koech,KEN,10.11.74,Rieti,28.08.1994
154,1:43.17,Yuriy Borzakovskiy,RUS,12.04.81,Monaco,20.07.2001
154,1:43.17,Asbel Kiprop,KEN,30.06.89,Ad-Dawhah,08.05.2009
154,1:43.17,Clayton Murphy,USA,26.02.95,Eugene,21.06.2021
158,1:43.18,Wilson Kipketer,DEN,12.12.70,Zürich,12.08.1998
158,1:43.18,Nijel Amos,BOT,15.03.94,London,09.07.2017
160,1:43.19,Steve Cram,GBR,14.10.60,Rieti,07.09.1986
160,1:43.19,Hezekiél Sepeng,RSA,30.06.74,Köln,24.08.1997
162,1:43.20,José Luis Barbosa,BRA,27.05.61,Zürich,17.08.1988
162,1:43.20,Mark Everett,USA,02.09.68,Linz,09.07.1997
162,1:43.20,Mohammed Aman,ETH,10.01.94,London,09.08.2012
162,1:43.20,Brandon McBride,CAN,15.06.94,Monaco,20.07.2018
166,1:43.21,Patrick Ndururi,KEN,12.01.69,Zürich,12.08.1998
167,1:43.22,Steve Cram,GBR,14.10.60,Edinburgh,31.07.1986
167,1:43.22,Paul Ereng,KEN,22.08.67,Nice,10.07.1989
167,1:43.22,Pawel Czapiewski,POL,30.03.78,Zürich,17.08.2001
167,1:43.22,Ferguson Cheruiyot,KEN,30.11.89,Bruxelles,06.09.2013
171,1:43.23,Joaquim Cruz,BRA,12.03.63,Zürich,21.08.1985
171,1:43.23,Bryce Hoppel,USA,05.09.97,Monaco,14.08.2020
173,1:43.24,Wilfred Bungei,KEN,24.07.80,Ostrava,12.06.2003
174,1:43.25,Vebjørn Rodal,NOR,16.09.72,London,12.07.1996
174,1:43.25,Djabir Said-Guerni,ALG,29.03.77,Bruxelles,25.08.2000
174,1:43.25,Mbulaeni Mulaudzi,RSA,08.09.80,Rehlingen,09.06.2003
174,1:43.25,Amine Laâlou,MAR,13.05.82,Roma,14.07.2006
174,1:43.25,David Rudisha,KEN,17.12.88,Lausanne,08.07.2010
174,1:43.25,Michael Saruni,KEN,18.01.95,Tucson,28.04.2018
180,1:43.26,Sammy Kibet Langat,KEN,24.01.70,Zürich,14.08.1996
180,1:43.26,Mbulaeni Mulaudzi,RSA,08.09.80,Monaco,29.07.2008
180,1:43.26,Marco Arop,CAN,20.09.98,Monaco,09.07.2021
180,1:43.26,Emmanuel Korir,KEN,15.06.95,Zürich,08.09.2022
184,1:43.27,David Rudisha,KEN,17.12.88,Split,05.09.2010
184,1:43.27,Duane Solomon,USA,28.12.84,Des Moines,23.06.2013
184,1:43.27,Nijel Amos,BOT,15.03.94,Lausanne,09.07.2015
184,1:43.27,Emmanuel Wanyonyi,KEN,01.08.04,Paris,09.06.2023
188,1:43.28,Johnny Gray,USA,19.06.60,Bruxelles,24.08.1984
188,1:43.28,Johnny Gray,USA,19.06.60,Köln,26.08.1984
188,1:43.28,Sammy Koskei,KEN,14.05.61,Koblenz,29.08.1984
188,1:43.28,Wilson Kipketer,DEN,12.12.70,Bruxelles,05.09.2003
188,1:43.28,Nijel Amos,BOT,15.03.94,Berlin,06.09.2015
193,1:43.29,Wilson Kipketer,KEN,12.12.70,Oslo,22.07.1994
193,1:43.29,William Yiampoy,KEN,17.05.74,Zürich,06.08.2004
193,1:43.29,Boaz Lalang,KEN,08.02.89,Monaco,22.07.2010
193,1:43.29,Mbulaeni Mulaudzi,RSA,08.09.80,Monaco,22.07.2010
193,1:43.29,Nijel Amos,BOT,15.03.94,London,22.07.2018
198,1:43.30,William Tanui,KEN,22.02.64,Rieti,06.09.1991
198,1:43.30,Wilson Kipketer,DEN,12.12.70,Sevilla,29.08.1999
198,1:43.30,Yuriy Borzakovskiy,RUS,12.04.81,Zürich,17.08.2001
198,1:43.30,Adam Kszczot,POL,02.09.89,Rieti,10.09.2011
198,1:43.30,Marco Arop,CAN,20.09.98,Paris,09.06.2023
203,1:43.31,Nixon Kiprotich,KEN,04.12.62,Rieti,06.09.1992
203,1:43.31,André Bucher,SUI,19.10.76,Bruxelles,25.08.2000
203,1:43.31,Wilfred Bungei,KEN,24.07.80,Rieti,27.08.2006
203,1:43.31,Mohammed Aman,ETH,10.01.94,Moskva,13.08.2013
203,1:43.31,David Rudisha,KEN,17.12.88,Berlin,03.09.2016
208,1:43.32,Hezekiél Sepeng,RSA,30.06.74,Sevilla,29.08.1999
208,1:43.32,Djabir Said-Guerni,ALG,29.03.77,Lausanne,05.07.2000
208,1:43.32,Abubaker Kaki Khamis,SUD,21.06.89,London,09.08.2012
208,1:43.32A,Emmanuel Wanyonyi,KEN,01.08.04,Nairobi,13.05.2023
212,1:43.33,Johnny Gray,USA,19.06.60,Köln,25.08.1985
212,1:43.33,Robert Kibsubai Chirchir,KEN,26.11.72,Stuttgart,19.07.1998
212,1:43.33,William Chirchir,KEN,06.02.79,Bruxelles,03.09.1999
212,1:43.33,Joseph Mutua Mwengi,KEN,10.12.78,Zürich,16.08.2002
212,1:43.33,Mohammed Aman,ETH,10.01.94,Lausanne,04.07.2013
212,1:43.33,Slimane Moula,ALG,25.02.99,Paris,09.06.2023
218,1:43.34,José Luis Barbosa,BRA,27.05.61,Koblenz,28.08.1988
218,1:43.34,Wilson Kipketer,DEN,12.12.70,Berlin,30.08.1996
218,1:43.34,André Bucher,SUI,19.10.76,Saint-Denis,06.07.2001
218,1:43.34,Asbel Kiprop,KEN,30.06.89,Saint-Denis,05.07.2014
218,1:43.34,David Rudisha,KEN,17.12.88,Glasgow,12.07.2014
218,1:43.34,Boris Berian,USA,19.12.92,Monaco,17.07.2015
224,1:43.35,David Mack,USA,30.05.61,Koblenz,28.08.1985
224,1:43.35,Wilson Kipketer,DEN,12.12.70,Bruxelles,25.08.2000
224,1:43.35,Joseph Mutua Mwengi,KEN,10.12.78,Rieti,05.09.2004
224,1:43.35,David Rudisha,KEN,17.12.88,Székesfehérvár,18.07.2016
228,1:43.36,Johnny Gray,USA,19.06.60,Zürich,16.08.1995
228,1:43.36,William Yiampoy,KEN,17.05.74,Bruxelles,30.08.2002
228,1:43.36,Amine Laâlou,MAR,13.05.82,Hengelo,01.06.2009
231,1:43.37,William Tanui,KEN,22.02.64,Rieti,06.09.1992
231,1:43.37,Mohammed Aman,ETH,10.01.94,Rieti,10.09.2011
231,1:43.37A,Nicholas Kipkoech,KEN,22.10.92,Nairobi,29.04.2016
234,1:43.38,Nixon Kiprotich,KEN,04.12.62,Zürich,16.08.1989
234,1:43.38,Sebastian Coe,GBR,29.09.56,Bern,29.08.1989
234,1:43.38,David Kiptoo Singoei,KEN,26.06.65,Monaco,10.08.1996
234,1:43.38,Wilson Kipketer,DEN,12.12.70,Athínai,08.08.1997
234,1:43.38,Rich Kenah,USA,04.08.70,Zürich,13.08.1997
234,1:43.38,Arthémon Hatungimana,BDI,21.01.74,Bruxelles,24.08.2001
234,1:43.38,Mbulaeni Mulaudzi,RSA,08.09.80,Zürich,18.08.2006
234,1:43.38,Marco Arop,CAN,20.09.98,Zürich,08.09.2022
242,1:43.39,Billy Konchellah,KEN,20.10.61,Zürich,19.08.1987
242,1:43.39,Johnny Gray,USA,19.06.60,Oslo,01.07.1989
242,1:43.39,William Tanui,KEN,22.02.64,Bruxelles,10.08.1990
242,1:43.39,Patrick Konchellah,KEN,20.04.68,Linz,09.07.1997
246,1:43.4A,David Rudisha,KEN,17.12.88,Eldoret,30.06.2016
246,1:43.40,Mark Everett,USA,02.09.68,Oslo,04.07.1992
246,1:43.40,Leonard Kosencha,KEN,21.08.94,Monaco,20.07.2012
246,1:43.40,Djamel Sedjati,ALG,03.05.99,Paris,09.06.2023
250,1:43.41,Peter Elliott,GBR,09.10.62,Roma,01.09.1987
250,1:43.41,Pierre-Ambroise Bosse,FRA,11.05.92,Rio de Janeiro,15.08.2016
252,1:43.42,Steve Cram,GBR,14.10.60,Zürich,17.08.1988
252,1:43.42,David Kiptoo Singoei,KEN,26.06.65,Rieti,01.09.1996
252,1:43.42,Yuriy Borzakovskiy,RUS,12.04.81,Athínai,03.07.2006
255,1:43.43,Johnny Gray,USA,19.06.60,Zürich,21.08.1985
255,1:43.43,Youssef Saad Kamel,BRN,29.03.83,Rieti,05.09.2004
255,1:43.43,Ferguson Cheruiyot,KEN,30.11.89,Saint-Denis,27.08.2016
258,1:43.44,Alberto Juantorena,CUB,03.12.50,Sofia,21.08.1977
258,1:43.44,Hezekiél Sepeng,RSA,30.06.74,Zürich,13.08.1997
258,1:43.44,Duane Solomon,USA,28.12.84,Monaco,20.07.2012
261,1:43.45,Paul Ereng,KEN,22.08.67,Seoul,26.09.1988
261,1:43.45,Benson Koech,KEN,10.11.74,Zürich,16.08.1995
261,1:43.45,Patrick Ndururi,KEN,12.01.69,Fukuoka,13.09.1997
261,1:43.45,Bram Som,NED,20.02.80,Zürich,18.08.2006
261,1:43.45,Asbel Kiprop,KEN,30.06.89,Ad-Dawhah,14.05.2010
261,1:43.45,Adam Kszczot,POL,02.09.89,Monaco,17.07.2015
267,1:43.46,Johnny Gray,USA,19.06.60,Zürich,13.08.1986
267,1:43.46,Arthémon Hatungimana,BDI,21.01.74,Zürich,14.08.1996
267,1:43.46,David Rudisha,KEN,17.12.88,Tomblaine,24.06.2011
267,1:43.46A,Jonathan Kitilit,KEN,24.04.94,Nairobi,23.06.2018
271,1:43.47,Hezekiél Sepeng,RSA,30.06.74,Durham,13.07.1996
271,1:43.47,Amel Tuka,BIH,09.01.91,Ad-Dawhah,01.10.2019
273,1:43.48,Wilfred Bungei,KEN,24.07.80,Bruxelles,03.09.2004
273,1:43.48,Asbel Kiprop,KEN,30.06.89,Athínai,13.07.2009
273,1:43.48,Abubaker Kaki Khamis,SUD,21.06.89,Torino,12.06.2010
273,1:43.48A,Jonathan Kitilit,KEN,24.04.94,Nairobi,29.04.2016
273,1:43.48,Wyclife Kisasy,KEN,02.07.97,London,20.07.2019
273,1:43.48,Benjamin Robert,FRA,04.11.98,Paris,09.06.2023
279,1:43.49,José Luis Barbosa,BRA,27.05.61,Hengelo,14.08.1988
280,1:43.5y,Rick Wohlhuter,USA,23.12.48,Eugene,08.06.1974
280,1:43.50,Alberto Juantorena,CUB,03.12.50,Montréal,25.07.1976
280,1:43.50,Vebjørn Rodal,NOR,16.09.72,Oslo,22.07.1994
280,1:43.50,Patrick Konchellah,KEN,20.04.68,Bruxelles,22.08.1997
280,1:43.50,Mahjoub Haïda,MAR,01.07.70,Roma,14.07.1998
280,1:43.50,William Yiampoy,KEN,17.05.74,Bruxelles,03.09.2004
280,1:43.50,Abubaker Kaki Khamis,SUD,21.06.89,Monaco,28.07.2009
280,1:43.50,Abubaker Kaki Khamis,SUD,21.06.89,Saint-Denis,16.07.2010
280,1:43.50,David Rudisha,KEN,17.12.88,Bruxelles,27.08.2010
280,1:43.50,Mohammed Aman,ETH,10.01.94,Milano,18.09.2011
290,1:43.51,Sammy Koskei,KEN,14.05.61,Zürich,22.08.1984
290,1:43.51,Johnny Gray,USA,19.06.60,Oslo,04.07.1992
290,1:43.51,Mohammed Aman,ETH,10.01.94,Daegu,16.05.2012
290,1:43.51,Brandon McBride,CAN,15.06.94,Zürich,29.08.2019
294,1:43.52,Joseph Mutua Mwengi,KEN,10.12.78,Bruxelles,05.09.2003
294,1:43.52,Bram Som,NED,20.02.80,Rieti,27.08.2006
294,1:43.52,David Rudisha,KEN,17.12.88,Zürich,28.08.2009
294,1:43.52,Mohammed Aman,ETH,10.01.94,Berlin,31.08.2014
294,1:43.52,Ayanleh Souleiman,DJI,03.12.92,Saint-Denis,27.08.2016
294,1:43.52,Max Burgin,GBR,20.05.02,Turku,14.06.2022
300,1:43.53,David Rudisha,KEN,17.12.88,Hengelo,01.06.2009
300,1:43.53,Taoufik Makhloufi,ALG,29.04.88,Berlin,31.08.2014
300,1:43.53,Jonathan Kitilit,KEN,24.04.94,Birmingham,18.08.2018
303,1:43.54,William Wuyke,VEN,21.05.58,Rieti,07.09.1986
303,1:43.54,Nixon Kiprotich,KEN,04.12.62,Rieti,05.09.1993
303,1:43.54,Wilson Kipketer,DEN,12.12.70,Roma,05.06.1997
303,1:43.54A,Wyclife Kisasy,KEN,02.07.97,Nairobi,25.06.2022
307,1:43.55,Nixon Kiprotich,KEN,04.12.62,Köln,16.08.1992
307,1:43.55,Philip Kibitok,KEN,23.03.71,Rieti,01.09.1996
307,1:43.55,Wilson Kipketer,DEN,12.12.70,München,11.09.1999
307,1:43.55,Nick Symmonds,USA,30.12.83,Moskva,13.08.2013
307,1:43.55,Donavan Brazier,USA,15.04.97,Eugene,10.06.2016
307,1:43.55,Ferguson Cheruiyot,KEN,30.11.89,Rio de Janeiro,15.08.2016
313,1:43.56,Rob Druppers,NED,29.04.62,Köln,25.08.1985
313,1:43.56,Arthémon Hatungimana,BDI,21.01.74,Zürich,16.08.1995
313,1:43.56,Vebjørn Rodal,NOR,16.09.72,Zürich,14.08.1996
313,1:43.56,Arthémon Hatungimana,BDI,21.01.74,Zürich,13.08.1997
313,1:43.56,Mohammed Aman,ETH,10.01.94,Stockholm,17.08.2012
313,1:43.56,Nick Symmonds,USA,30.12.83,Zürich,29.08.2013
313,1:43.56,Mohammed Aman,ETH,10.01.94,Roma,04.06.2015
313,1:43.56,Robert Biwott,KEN,28.01.96,Barcelona,08.07.2015
313,1:43.56,Wyclife Kisasy,KEN,02.07.97,Paris,09.06.2023
322,1:43.57,Mike Boit,KEN,06.01.49,Berlin,20.08.1976
322,1:43.57,Mahjoub Haïda,MAR,01.07.70,Zürich,16.08.1995
322,1:43.57,Joseph Tengelei,KEN,08.12.70,Zürich,16.08.1995
322,1:43.57,Patrick Ndururi,KEN,12.01.69,Köln,24.08.1997
322,1:43.57,Hezekiél Sepeng,RSA,30.06.74,Monaco,20.07.2001
322,1:43.57,David Rudisha,KEN,17.12.88,Milano,18.09.2011
322,1:43.57,Ferguson Cheruiyot,KEN,30.11.89,Monaco,09.07.2021
329,1:43.58,André Bucher,SUI,19.10.76,Lausanne,04.07.2001
329,1:43.58,Yuriy Borzakovskiy,RUS,12.04.81,Monaco,28.07.2009
329,1:43.58,Mbulaeni Mulaudzi,RSA,08.09.80,Lausanne,08.07.2010
329,1:43.58,Mohammed Aman,ETH,10.01.94,Rabat,27.05.2012
329,1:43.58,David Rudisha,KEN,17.12.88,New York City,13.06.2015
329,1:43.58,Pierre-Ambroise Bosse,FRA,11.05.92,Saint-Denis,27.08.2016
335,1:43.59,Johnny Gray,USA,19.06.60,Rieti,02.09.1984
335,1:43.59,Wilson Kipketer,DEN,12.12.70,Zürich,16.08.2002
335,1:43.59,Wilfred Bungei,KEN,24.07.80,Athínai,03.07.2006
335,1:43.59,Bram Som,NED,20.02.80,Rieti,06.09.2009
339,1:43.60,Paul Ereng,KEN,22.08.67,London,14.07.1989
339,1:43.60,Abdi Bile,SOM,28.12.62,Zürich,16.08.1989
339,1:43.60,David Kiptoo Singoei,KEN,26.06.65,Zürich,12.08.1998
339,1:43.60,Leonard Kosencha,KEN,21.08.94,Rabat,27.05.2012
339,1:43.60A,Ferguson Cheruiyot,KEN,30.11.89,Nairobi,01.08.2015
339,1:43.60,Clayton Murphy,USA,26.02.95,Torrance,15.04.2017
345,1:43.61,Steve Cram,GBR,14.10.60,Oslo,23.08.1983
345,1:43.61,Japheth Kimutai,KEN,20.12.78,Roma,14.07.1998
345,1:43.61,Youssef Saad Kamel,BRN,29.03.83,Rieti,27.08.2006
